Estructura,Largo Patron,Tiempo
FMI,10,149
FMI,10,22
FMI,10,21
FMI,10,21
FMI,10,22
FMI,10,22
FMI,10,21
FMI,10,21
FMI,10,22
FMI,10,22
FMI,10,21
FMI,10,21
FMI,10,21
FMI,10,23
FMI,10,22
FMI,10,23
FMI,10,23
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,23
FMI,10,22
FMI,10,23
FMI,10,23
FMI,10,23
FMI,10,22
FMI,10,23
FMI,10,23
FMI,10,23
FMI,10,22
FMI,10,22
FMI,10,23
FMI,10,22
FMI,10,22
FMI,10,23
FMI,10,22
FMI,10,21
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,23
FMI,10,21
FMI,10,22
FMI,10,22
FMI,10,21
FMI,10,22
FMI,10,23
FMI,10,21
FMI,10,22
FMI,10,21
FMI,10,23
FMI,10,21
FMI,10,23
FMI,10,21
FMI,10,22
FMI,10,23
FMI,10,22
FMI,10,22
FMI,10,21
FMI,10,24
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,23
FMI,10,22
FMI,10,21
FMI,10,23
FMI,10,21
FMI,10,23
FMI,10,23
FMI,10,22
FMI,10,21
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,23
FMI,10,22
FMI,10,22
FMI,10,21
FMI,10,23
FMI,10,22
FMI,10,22
FMI,10,22
FMI,10,21
FMI,10,23
FMI,10,23
FMI,10,22
FMI,10,22
FMI,10,23
FMI,10,23
FMI,10,21
FMI,10,21
FMI,10,22
FMI,20,122
FMI,20,24
FMI,20,25
FMI,20,24
FMI,20,23
FMI,20,25
FMI,20,24
FMI,20,23
FMI,20,24
FMI,20,25
FMI,20,24
FMI,20,24
FMI,20,26
FMI,20,24
FMI,20,24
FMI,20,23
FMI,20,23
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,25
FMI,20,25
FMI,20,23
FMI,20,24
FMI,20,23
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,25
FMI,20,24
FMI,20,24
FMI,20,26
FMI,20,24
FMI,20,25
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,25
FMI,20,23
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,25
FMI,20,22
FMI,20,24
FMI,20,23
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,25
FMI,20,23
FMI,20,24
FMI,20,25
FMI,20,23
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,25
FMI,20,24
FMI,20,24
FMI,20,23
FMI,20,23
FMI,20,25
FMI,20,25
FMI,20,24
FMI,20,23
FMI,20,24
FMI,20,24
FMI,20,25
FMI,20,24
FMI,20,24
FMI,20,23
FMI,20,25
FMI,20,23
FMI,20,24
FMI,20,23
FMI,20,23
FMI,20,25
FMI,20,25
FMI,20,23
FMI,20,24
FMI,20,24
FMI,20,24
FMI,20,23
FMI,20,25
FMI,20,25
FMI,20,25
FMI,20,24
FMI,20,23
FMI,20,24
FMI,20,24
FMI,20,24
FMI,30,25
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,25
FMI,30,24
FMI,30,24
FMI,30,25
FMI,30,24
FMI,30,24
FMI,30,23
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,25
FMI,30,25
FMI,30,23
FMI,30,24
FMI,30,25
FMI,30,24
FMI,30,23
FMI,30,24
FMI,30,23
FMI,30,24
FMI,30,23
FMI,30,24
FMI,30,25
FMI,30,25
FMI,30,24
FMI,30,24
FMI,30,25
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,23
FMI,30,23
FMI,30,23
FMI,30,25
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,23
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,23
FMI,30,23
FMI,30,23
FMI,30,24
FMI,30,24
FMI,30,25
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,25
FMI,30,25
FMI,30,25
FMI,30,24
FMI,30,24
FMI,30,23
FMI,30,24
FMI,30,23
FMI,30,24
FMI,30,23
FMI,30,23
FMI,30,25
FMI,30,25
FMI,30,24
FMI,30,24
FMI,30,23
FMI,30,24
FMI,30,24
FMI,30,23
FMI,30,24
FMI,30,23
FMI,30,23
FMI,30,24
FMI,30,24
FMI,30,24
FMI,30,23
FMI,30,25
FMI,30,23
FMI,30,23
FMI,30,25
FMI,30,24
FMI,30,25
FMI,30,24
FMI,30,25
FMI,30,24
FMI,30,25
FMI,40,188
FMI,40,25
FMI,40,24
FMI,40,23
FMI,40,24
FMI,40,24
FMI,40,24
FMI,40,25
FMI,40,23
FMI,40,24
FMI,40,23
FMI,40,23
FMI,40,23
FMI,40,24
FMI,40,23
FMI,40,23
FMI,40,24
FMI,40,25
FMI,40,24
FMI,40,25
FMI,40,24
FMI,40,24
FMI,40,23
FMI,40,24
FMI,40,24
FMI,40,23
FMI,40,25
FMI,40,23
FMI,40,24
FMI,40,26
FMI,40,24
FMI,40,24
FMI,40,25
FMI,40,24
FMI,40,24
FMI,40,25
FMI,40,24
FMI,40,25
FMI,40,25
FMI,40,23
FMI,40,23
FMI,40,24
FMI,40,25
FMI,40,23
FMI,40,24
FMI,40,25
FMI,40,24
FMI,40,24
FMI,40,24
FMI,40,25
FMI,40,24
FMI,40,24
FMI,40,24
FMI,40,25
FMI,40,24
FMI,40,24
FMI,40,23
FMI,40,25
FMI,40,24
FMI,40,25
FMI,40,24
FMI,40,23
FMI,40,24
FMI,40,25
FMI,40,24
FMI,40,25
FMI,40,23
FMI,40,23
FMI,40,23
FMI,40,24
FMI,40,24
FMI,40,23
FMI,40,23
FMI,40,25
FMI,40,24
FMI,40,23
FMI,40,23
FMI,40,24
FMI,40,24
FMI,40,24
FMI,40,23
FMI,40,25
FMI,40,24
FMI,40,23
FMI,40,25
FMI,40,24
FMI,40,24
FMI,40,24
FMI,40,24
FMI,40,24
FMI,40,23
FMI,40,24
FMI,40,25
FMI,40,23
FMI,40,24
FMI,40,24
FMI,40,24
FMI,40,25
FMI,40,25
FMI,40,23
FMI,50,101
FMI,50,25
FMI,50,23
FMI,50,23
FMI,50,25
FMI,50,25
FMI,50,25
FMI,50,25
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,23
FMI,50,25
FMI,50,25
FMI,50,25
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,23
FMI,50,25
FMI,50,25
FMI,50,26
FMI,50,25
FMI,50,25
FMI,50,23
FMI,50,25
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,23
FMI,50,24
FMI,50,25
FMI,50,23
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,26
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,25
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,23
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,23
FMI,50,25
FMI,50,24
FMI,50,24
FMI,50,24
FMI,50,25
FMI,50,24
FMI,50,25
FMI,50,25
FMI,50,24
FMI,50,25
FMI,50,25
FMI,50,24
FMI,60,183
FMI,60,25
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,25
FMI,60,23
FMI,60,23
FMI,60,23
FMI,60,24
FMI,60,24
FMI,60,25
FMI,60,25
FMI,60,24
FMI,60,25
FMI,60,25
FMI,60,23
FMI,60,25
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,23
FMI,60,25
FMI,60,24
FMI,60,25
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,23
FMI,60,24
FMI,60,24
FMI,60,25
FMI,60,24
FMI,60,25
FMI,60,26
FMI,60,25
FMI,60,24
FMI,60,24
FMI,60,25
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,25
FMI,60,23
FMI,60,25
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,25
FMI,60,24
FMI,60,23
FMI,60,25
FMI,60,24
FMI,60,25
FMI,60,25
FMI,60,25
FMI,60,24
FMI,60,26
FMI,60,25
FMI,60,25
FMI,60,23
FMI,60,26
FMI,60,24
FMI,60,24
FMI,60,23
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,25
FMI,60,25
FMI,60,24
FMI,60,24
FMI,60,25
FMI,60,23
FMI,60,25
FMI,60,24
FMI,60,24
FMI,60,24
FMI,60,25
FMI,60,25
FMI,60,24
FMI,60,23
FMI,60,24
FMI,60,24
FMI,60,23
FMI,60,24
FMI,60,26
FMI,60,25
FMI,60,25
FMI,60,24
FMI,60,23
FMI,60,25
FMI,60,25
FMI,60,24
FMI,60,24
FMI,60,23
FMI,70,101
FMI,70,24
FMI,70,24
FMI,70,23
FMI,70,25
FMI,70,25
FMI,70,25
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,23
FMI,70,25
FMI,70,23
FMI,70,24
FMI,70,23
FMI,70,24
FMI,70,23
FMI,70,23
FMI,70,23
FMI,70,24
FMI,70,25
FMI,70,25
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,25
FMI,70,23
FMI,70,24
FMI,70,25
FMI,70,24
FMI,70,24
FMI,70,23
FMI,70,23
FMI,70,24
FMI,70,26
FMI,70,24
FMI,70,25
FMI,70,24
FMI,70,23
FMI,70,25
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,25
FMI,70,24
FMI,70,26
FMI,70,24
FMI,70,24
FMI,70,25
FMI,70,23
FMI,70,24
FMI,70,25
FMI,70,25
FMI,70,24
FMI,70,25
FMI,70,23
FMI,70,25
FMI,70,23
FMI,70,23
FMI,70,25
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,25
FMI,70,25
FMI,70,25
FMI,70,24
FMI,70,25
FMI,70,24
FMI,70,23
FMI,70,23
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,25
FMI,70,25
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,24
FMI,70,25
FMI,70,23
FMI,70,26
FMI,70,24
FMI,70,26
FMI,70,23
FMI,70,24
FMI,70,23
FMI,70,25
FMI,70,25
FMI,70,24
FMI,80,173
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,25
FMI,80,25
FMI,80,25
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,25
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,25
FMI,80,26
FMI,80,27
FMI,80,27
FMI,80,26
FMI,80,27
FMI,80,25
FMI,80,25
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,24
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,25
FMI,80,26
FMI,80,27
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,27
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,25
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,25
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,27
FMI,80,24
FMI,80,27
FMI,80,27
FMI,80,26
FMI,80,25
FMI,80,27
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,26
FMI,80,27
FMI,80,26
FMI,80,26
FMI,80,27
FMI,80,26
FMI,80,25
FMI,80,26
FMI,80,25
FMI,80,25
FMI,80,25
FMI,80,26
FMI,80,26
FMI,90,109
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,25
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,27
FMI,90,27
FMI,90,29
FMI,90,27
FMI,90,28
FMI,90,26
FMI,90,27
FMI,90,28
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,27
FMI,90,27
FMI,90,26
FMI,90,26
FMI,90,23
FMI,90,27
FMI,90,27
FMI,90,26
FMI,90,23
FMI,90,26
FMI,90,26
FMI,90,22
FMI,90,22
FMI,90,26
FMI,90,27
FMI,90,26
FMI,90,26
FMI,90,27
FMI,90,26
FMI,90,26
FMI,90,27
FMI,90,26
FMI,90,27
FMI,90,26
FMI,90,25
FMI,90,26
FMI,90,22
FMI,90,22
FMI,90,22
FMI,90,23
FMI,90,22
FMI,90,22
FMI,90,27
FMI,90,27
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,27
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,23
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,27
FMI,90,27
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,26
FMI,90,21
FMI,90,22
FMI,90,26
FMI,90,26
FMI,90,27
FMI,90,25
FMI,90,26
FMI,90,26
FMI,90,27
FMI,90,27
FMI,90,27
FMI,90,27
FMI,90,26
FMI,90,26
FMI,90,27
FMI,90,28
FMI,90,28
FMI,90,26
FMI,100,23
FMI,100,21
FMI,100,26
FMI,100,26
FMI,100,26
FMI,100,26
FMI,100,26
FMI,100,26
FMI,100,26
FMI,100,25
FMI,100,26
FMI,100,26
