Estructura,Tamaño,Milisegundos,Bytes
FMI,1000000,155,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,153,256517
FMI,1000000,154,256517
FMI,1000000,153,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,155,256517
FMI,1000000,154,256517
FMI,1000000,155,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,155,256517
FMI,1000000,157,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,153,256517
FMI,1000000,153,256517
FMI,1000000,154,256517
FMI,1000000,153,256517
FMI,1000000,153,256517
FMI,1000000,154,256517
FMI,1000000,153,256517
FMI,1000000,155,256517
FMI,1000000,153,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,153,256517
FMI,1000000,156,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,156,256517
FMI,1000000,154,256517
FMI,1000000,156,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,157,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,155,256517
FMI,1000000,154,256517
FMI,1000000,153,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,155,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,158,256517
FMI,1000000,154,256517
FMI,1000000,156,256517
FMI,1000000,155,256517
FMI,1000000,154,256517
FMI,1000000,158,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,155,256517
FMI,1000000,154,256517
FMI,1000000,155,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,154,256517
FMI,1000000,153,256517
FMI,2000000,315,504645
FMI,2000000,315,504645
FMI,2000000,316,504645
FMI,2000000,317,504645
FMI,2000000,316,504645
FMI,2000000,315,504645
FMI,2000000,315,504645
FMI,2000000,316,504645
FMI,2000000,315,504645
FMI,2000000,316,504645
FMI,2000000,317,504645
FMI,2000000,315,504645
