Estructura,Largo Patron,Tiempo
FMI,10,32101
FMI,10,13076
FMI,10,8391
FMI,10,6628
FMI,10,6353
FMI,10,6196
FMI,10,6126
FMI,10,6122
FMI,10,6069
FMI,10,6086
FMI,10,6175
FMI,10,6110
FMI,10,6099
FMI,10,6158
FMI,10,6109
FMI,10,6111
FMI,10,6090
FMI,10,6026
FMI,10,6078
FMI,10,6135
FMI,10,6153
FMI,10,6118
FMI,10,6050
FMI,10,6053
FMI,10,6155
FMI,10,6049
FMI,10,6083
FMI,10,6036
FMI,10,6180
FMI,10,6075
FMI,10,6051
FMI,10,6014
FMI,10,6018
FMI,10,6042
FMI,10,6043
FMI,10,6013
FMI,10,6138
FMI,10,6041
FMI,10,6096
FMI,10,5985
FMI,10,6102
FMI,10,6060
FMI,10,6028
FMI,10,6103
FMI,10,6120
FMI,10,6017
FMI,10,6052
FMI,10,6067
FMI,10,6150
FMI,10,6007
FMI,10,6033
FMI,10,6134
FMI,10,6087
FMI,10,6043
FMI,10,6135
FMI,10,6078
FMI,10,6021
FMI,10,6053
FMI,10,6050
FMI,10,6035
FMI,10,6013
FMI,10,6089
FMI,10,6116
FMI,10,6068
FMI,10,6129
FMI,10,6117
FMI,10,6133
FMI,10,6093
FMI,10,6086
FMI,10,6093
FMI,10,6092
FMI,10,6041
FMI,10,6063
FMI,10,6056
FMI,10,6032
FMI,10,6103
FMI,10,6130
FMI,10,6064
FMI,10,6093
FMI,10,6117
FMI,10,6116
FMI,10,6100
FMI,10,6105
FMI,10,6185
FMI,10,6115
FMI,10,6107
FMI,10,6125
FMI,10,6080
FMI,10,6183
FMI,10,6084
FMI,10,6139
FMI,10,6047
FMI,10,6107
FMI,10,6087
FMI,10,6080
FMI,10,6115
FMI,10,6168
FMI,10,6072
FMI,10,6067
FMI,10,6049
FMI,20,39229
FMI,20,23276
FMI,20,18299
FMI,20,15248
FMI,20,14195
FMI,20,13768
FMI,20,13409
FMI,20,13565
FMI,20,13468
FMI,20,13466
FMI,20,13475
FMI,20,13498
