Estructura,Largo Patron,Tiempo
FMI,10,37676
FMI,10,13632
FMI,10,9253
FMI,10,8266
FMI,10,8092
FMI,10,8083
FMI,10,7969
FMI,10,8025
FMI,10,8059
FMI,10,8018
FMI,10,7960
FMI,10,7990
FMI,10,7951
FMI,10,7991
FMI,10,8012
FMI,10,7932
FMI,10,7944
FMI,10,7939
FMI,10,8053
FMI,10,7953
FMI,10,7979
FMI,10,8026
FMI,10,7930
FMI,10,8017
FMI,10,7989
FMI,10,7918
FMI,10,7962
FMI,10,7953
FMI,10,7948
FMI,10,8005
FMI,10,8009
FMI,10,7916
FMI,10,7931
FMI,10,7941
FMI,10,7917
FMI,10,7939
FMI,10,7947
FMI,10,7936
FMI,10,7981
FMI,10,7990
FMI,10,8030
FMI,10,7934
FMI,10,7933
FMI,10,7964
FMI,10,7995
FMI,10,7947
FMI,10,7957
FMI,10,7936
FMI,10,7960
FMI,10,7948
FMI,10,7933
FMI,10,7941
FMI,10,7994
FMI,10,7986
FMI,10,7974
FMI,10,7945
FMI,10,7988
FMI,10,7939
FMI,10,7918
FMI,10,7945
FMI,10,7964
FMI,10,7924
FMI,10,7958
FMI,10,7940
FMI,10,7962
FMI,10,7985
FMI,10,7939
FMI,10,8001
FMI,10,8029
FMI,10,7975
FMI,10,8085
FMI,10,8011
FMI,10,8018
FMI,10,7981
FMI,10,7952
FMI,10,7976
FMI,10,7940
FMI,10,7990
FMI,10,7945
FMI,10,7982
FMI,10,7979
FMI,10,8003
FMI,10,7944
FMI,10,7978
FMI,10,7974
FMI,10,7934
FMI,10,7986
FMI,10,8015
FMI,10,7940
FMI,10,7964
FMI,10,7934
FMI,10,7908
FMI,10,7988
FMI,10,7991
FMI,10,7982
FMI,10,8058
FMI,10,7953
FMI,10,7924
FMI,10,7979
FMI,10,7958
FMI,20,50999
FMI,20,27185
FMI,20,20422
FMI,20,18770
FMI,20,18072
FMI,20,18019
FMI,20,17771
FMI,20,17826
FMI,20,17804
FMI,20,17855
FMI,20,17924
FMI,20,17787
FMI,20,17856
FMI,20,17875
FMI,20,17728
FMI,20,17840
FMI,20,17832
FMI,20,17814
FMI,20,17844
FMI,20,17797
FMI,20,17879
FMI,20,17856
FMI,20,17800
FMI,20,17895
FMI,20,17948
FMI,20,17870
FMI,20,17889
FMI,20,17873
FMI,20,17828
FMI,20,17818
FMI,20,17860
FMI,20,17851
FMI,20,17766
FMI,20,17761
FMI,20,17782
FMI,20,17839
FMI,20,17783
FMI,20,17829
FMI,20,17722
FMI,20,17714
FMI,20,17704
FMI,20,17891
FMI,20,17859
FMI,20,17791
FMI,20,17854
FMI,20,17874
FMI,20,17893
FMI,20,17813
FMI,20,17807
FMI,20,17784
FMI,20,17796
FMI,20,17896
FMI,20,17871
FMI,20,17785
FMI,20,17886
FMI,20,17883
FMI,20,17786
FMI,20,17802
FMI,20,17885
FMI,20,17807
FMI,20,17854
FMI,20,17866
FMI,20,17766
FMI,20,17726
FMI,20,17788
FMI,20,17865
FMI,20,17724
FMI,20,17807
FMI,20,17776
FMI,20,17913
FMI,20,17829
FMI,20,17836
FMI,20,17795
FMI,20,17808
FMI,20,17810
FMI,20,17803
FMI,20,17713
FMI,20,17834
FMI,20,17793
FMI,20,17783
FMI,20,17715
FMI,20,17910
FMI,20,17839
FMI,20,17796
FMI,20,17862
FMI,20,17775
FMI,20,17827
FMI,20,17866
FMI,20,17811
FMI,20,17818
FMI,20,17744
FMI,20,17847
FMI,20,17912
FMI,20,17825
FMI,20,17809
FMI,20,17875
FMI,20,17820
FMI,20,17816
FMI,20,17860
FMI,20,17791
FMI,30,60815
FMI,30,37335
FMI,30,29246
FMI,30,27047
FMI,30,25644
FMI,30,24848
FMI,30,24783
FMI,30,24585
FMI,30,24686
FMI,30,24568
FMI,30,24548
FMI,30,24705
FMI,30,24596
FMI,30,24529
FMI,30,24679
FMI,30,24495
FMI,30,24569
FMI,30,24623
FMI,30,24453
FMI,30,24541
FMI,30,24707
FMI,30,24516
FMI,30,24574
FMI,30,24488
FMI,30,24526
FMI,30,24503
FMI,30,24448
FMI,30,24504
FMI,30,24556
FMI,30,24472
FMI,30,24481
FMI,30,24469
FMI,30,24704
FMI,30,24473
FMI,30,24587
FMI,30,24567
FMI,30,24464
FMI,30,24596
FMI,30,24616
FMI,30,24592
FMI,30,24446
FMI,30,24463
FMI,30,24438
FMI,30,24524
FMI,30,24532
FMI,30,24544
FMI,30,24452
FMI,30,24550
FMI,30,24669
FMI,30,24476
FMI,30,24503
FMI,30,24486
FMI,30,24534
FMI,30,26800
FMI,30,24577
FMI,30,24580
FMI,30,24675
FMI,30,24721
FMI,30,24623
FMI,30,24481
FMI,30,24503
FMI,30,24657
FMI,30,24495
FMI,30,24540
FMI,30,24625
FMI,30,24491
FMI,30,24543
FMI,30,24568
FMI,30,24554
FMI,30,24730
FMI,30,24566
FMI,30,24652
FMI,30,24531
FMI,30,24462
FMI,30,24478
FMI,30,24627
FMI,30,24606
FMI,30,24617
FMI,30,24699
FMI,30,24450
FMI,30,24700
FMI,30,24553
FMI,30,24572
FMI,30,24683
FMI,30,24596
FMI,30,24624
FMI,30,24658
FMI,30,24635
FMI,30,24549
FMI,30,24602
FMI,30,24593
FMI,30,24526
FMI,30,24604
FMI,30,24629
FMI,30,24567
FMI,30,24546
FMI,30,24684
FMI,30,24503
FMI,30,24573
FMI,30,24706
FMI,40,86453
FMI,40,62273
FMI,40,54031
FMI,40,50005
FMI,40,43440
FMI,40,41157
FMI,40,40070
FMI,40,39434
