Estructura,Tamaño,Segundos,Bytes
FMI,1000000,202,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,183,540085
FMI,1000000,184,540085
FMI,1000000,185,540085
FMI,1000000,182,540085
FMI,1000000,179,540085
FMI,1000000,181,540085
FMI,1000000,180,540085
FMI,1000000,181,540085
FMI,1000000,183,540085
FMI,1000000,182,540085
FMI,1000000,180,540085
FMI,1000000,183,540085
FMI,1000000,182,540085
FMI,1000000,183,540085
FMI,1000000,183,540085
FMI,1000000,182,540085
FMI,1000000,183,540085
FMI,1000000,182,540085
FMI,1000000,181,540085
FMI,1000000,183,540085
FMI,1000000,181,540085
FMI,1000000,183,540085
FMI,1000000,182,540085
FMI,1000000,183,540085
FMI,1000000,183,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,181,540085
FMI,1000000,183,540085
FMI,1000000,182,540085
FMI,1000000,183,540085
FMI,1000000,183,540085
FMI,1000000,184,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,180,540085
FMI,1000000,182,540085
FMI,1000000,181,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,183,540085
FMI,1000000,182,540085
FMI,1000000,183,540085
FMI,1000000,183,540085
FMI,1000000,181,540085
FMI,1000000,182,540085
FMI,1000000,183,540085
FMI,1000000,181,540085
FMI,1000000,184,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,186,540085
FMI,1000000,183,540085
FMI,1000000,181,540085
FMI,1000000,184,540085
FMI,1000000,182,540085
FMI,1000000,180,540085
FMI,1000000,184,540085
FMI,1000000,180,540085
FMI,1000000,180,540085
FMI,1000000,183,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,187,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,181,540085
FMI,1000000,184,540085
FMI,1000000,187,540085
FMI,1000000,188,540085
FMI,1000000,184,540085
FMI,1000000,183,540085
FMI,1000000,184,540085
FMI,1000000,188,540085
FMI,1000000,185,540085
FMI,1000000,186,540085
FMI,1000000,187,540085
FMI,1000000,187,540085
FMI,1000000,182,540085
FMI,1000000,185,540085
FMI,1000000,179,540085
FMI,1000000,181,540085
FMI,1000000,181,540085
FMI,1000000,181,540085
FMI,1000000,186,540085
FMI,1000000,182,540085
FMI,1000000,181,540085
FMI,1000000,185,540085
FMI,1000000,182,540085
FMI,1000000,182,540085
FMI,1000000,186,540085
FMI,1000000,182,540085
FMI,2000000,539,1043245
FMI,2000000,413,1043245
FMI,2000000,392,1043245
FMI,2000000,393,1043245
FMI,2000000,403,1043245
FMI,2000000,396,1043245
FMI,2000000,395,1043245
FMI,2000000,394,1043245
FMI,2000000,392,1043245
FMI,2000000,400,1043245
FMI,2000000,404,1043245
FMI,2000000,393,1043245
FMI,2000000,391,1043245
FMI,2000000,485,1043245
FMI,2000000,432,1043245
FMI,2000000,423,1043245
FMI,2000000,427,1043245
FMI,2000000,424,1043245
FMI,2000000,421,1043245
FMI,2000000,418,1043245
FMI,2000000,422,1043245
FMI,2000000,422,1043245
FMI,2000000,423,1043245
FMI,2000000,436,1043245
FMI,2000000,428,1043245
FMI,2000000,394,1043245
FMI,2000000,401,1043245
FMI,2000000,411,1043245
FMI,2000000,398,1043245
FMI,2000000,442,1043245
FMI,2000000,421,1043245
FMI,2000000,402,1043245
FMI,2000000,398,1043245
FMI,2000000,400,1043245
FMI,2000000,401,1043245
FMI,2000000,399,1043245
FMI,2000000,428,1043245
FMI,2000000,425,1043245
FMI,2000000,416,1043245
FMI,2000000,392,1043245
FMI,2000000,394,1043245
FMI,2000000,393,1043245
FMI,2000000,392,1043245
FMI,2000000,396,1043245
FMI,2000000,403,1043245
FMI,2000000,398,1043245
FMI,2000000,393,1043245
FMI,2000000,419,1043245
FMI,2000000,400,1043245
FMI,2000000,385,1043245
FMI,2000000,387,1043245
FMI,2000000,387,1043245
FMI,2000000,393,1043245
FMI,2000000,390,1043245
FMI,2000000,386,1043245
FMI,2000000,389,1043245
FMI,2000000,390,1043245
FMI,2000000,386,1043245
FMI,2000000,389,1043245
FMI,2000000,387,1043245
FMI,2000000,388,1043245
FMI,2000000,389,1043245
FMI,2000000,382,1043245
FMI,2000000,389,1043245
FMI,2000000,388,1043245
FMI,2000000,388,1043245
FMI,2000000,385,1043245
FMI,2000000,387,1043245
FMI,2000000,391,1043245
FMI,2000000,395,1043245
FMI,2000000,396,1043245
FMI,2000000,386,1043245
FMI,2000000,391,1043245
FMI,2000000,388,1043245
FMI,2000000,386,1043245
FMI,2000000,386,1043245
FMI,2000000,389,1043245
FMI,2000000,389,1043245
FMI,2000000,385,1043245
FMI,2000000,386,1043245
FMI,2000000,396,1043245
FMI,2000000,389,1043245
FMI,2000000,388,1043245
FMI,2000000,394,1043245
FMI,2000000,387,1043245
FMI,2000000,393,1043245
FMI,2000000,394,1043245
FMI,2000000,388,1043245
FMI,2000000,391,1043245
FMI,2000000,394,1043245
FMI,2000000,390,1043245
