Estructura,Largo Patron,Tiempo
FMI,10,47398
FMI,10,18556
FMI,10,13682
FMI,10,12129
FMI,10,11845
FMI,10,11769
FMI,10,11700
FMI,10,11718
FMI,10,11699
FMI,10,11655
FMI,10,11719
FMI,10,11685
FMI,10,11720
FMI,10,11699
FMI,10,11680
FMI,10,11664
FMI,10,11774
FMI,10,11761
FMI,10,11667
FMI,10,11669
FMI,10,11737
FMI,10,11701
FMI,10,11704
FMI,10,11719
FMI,10,11680
FMI,10,11680
FMI,10,11733
FMI,10,11741
FMI,10,11708
FMI,10,11669
FMI,10,11650
FMI,10,11655
FMI,10,11698
FMI,10,11634
FMI,10,11675
FMI,10,11711
FMI,10,11700
FMI,10,11682
FMI,10,11686
FMI,10,11734
FMI,10,11650
FMI,10,11725
FMI,10,11779
FMI,10,11671
FMI,10,11635
FMI,10,11768
FMI,10,11605
FMI,10,11619
FMI,10,11620
FMI,10,11604
FMI,10,11561
FMI,10,11658
FMI,10,11538
FMI,10,11536
FMI,10,11561
FMI,10,11597
FMI,10,11658
FMI,10,11582
FMI,10,11625
FMI,10,11647
FMI,10,11581
FMI,10,11544
FMI,10,11586
FMI,10,11583
FMI,10,11666
FMI,10,11576
FMI,10,11535
FMI,10,11715
FMI,10,11601
FMI,10,11621
FMI,10,11633
FMI,10,11624
FMI,10,11666
FMI,10,11617
FMI,10,11600
FMI,10,11634
FMI,10,11676
FMI,10,11606
FMI,10,11592
FMI,10,11583
FMI,10,11598
FMI,10,11621
FMI,10,11675
FMI,10,11589
FMI,10,11564
FMI,10,11588
FMI,10,11643
FMI,10,11557
FMI,10,11641
FMI,10,11646
FMI,10,11673
FMI,10,11591
FMI,10,11624
FMI,10,11656
FMI,10,11572
FMI,10,11660
FMI,10,11548
FMI,10,11633
FMI,10,11635
FMI,10,11699
FMI,20,74196
FMI,20,42017
FMI,20,33505
FMI,20,30088
FMI,20,28246
FMI,20,27648
FMI,20,27386
FMI,20,27383
FMI,20,27026
FMI,20,27004
FMI,20,26945
FMI,20,27270
FMI,20,27131
FMI,20,27012
FMI,20,26999
FMI,20,26913
FMI,20,26853
FMI,20,26897
FMI,20,26906
FMI,20,26830
FMI,20,27061
FMI,20,26801
FMI,20,27077
FMI,20,26800
FMI,20,26938
FMI,20,26882
FMI,20,27072
FMI,20,27032
FMI,20,27014
FMI,20,27047
FMI,20,26792
FMI,20,26895
FMI,20,26964
FMI,20,27013
FMI,20,26833
FMI,20,27038
FMI,20,26910
FMI,20,26946
FMI,20,26770
FMI,20,26776
FMI,20,26987
FMI,20,26986
FMI,20,26823
FMI,20,26957
FMI,20,26806
FMI,20,26857
FMI,20,26740
FMI,20,26864
FMI,20,26925
FMI,20,27022
FMI,20,27051
FMI,20,26773
FMI,20,26958
FMI,20,26665
FMI,20,26888
FMI,20,26888
FMI,20,26728
FMI,20,26821
FMI,20,26739
FMI,20,26957
FMI,20,26776
FMI,20,26826
FMI,20,26956
FMI,20,26641
FMI,20,26718
FMI,20,26870
FMI,20,26808
FMI,20,26893
FMI,20,26811
FMI,20,26725
FMI,20,26783
FMI,20,26820
FMI,20,26789
FMI,20,26751
FMI,20,26658
FMI,20,26894
FMI,20,26942
FMI,20,26951
FMI,20,26931
FMI,20,26840
FMI,20,26780
FMI,20,26973
FMI,20,26978
FMI,20,26731
FMI,20,26898
FMI,20,26813
FMI,20,26763
FMI,20,26867
FMI,20,26766
FMI,20,26754
FMI,20,26750
FMI,20,26622
FMI,20,27019
FMI,20,26764
FMI,20,26709
FMI,20,26703
FMI,20,26644
FMI,20,26711
FMI,20,26715
FMI,20,26864
FMI,30,109275
FMI,30,67033
FMI,30,54213
FMI,30,48440
FMI,30,50321
FMI,30,46160
FMI,30,43782
FMI,30,42624
FMI,30,42240
FMI,30,41981
FMI,30,42594
FMI,30,41869
FMI,30,41284
FMI,30,41225
FMI,30,41025
FMI,30,40859
FMI,30,40816
FMI,30,40689
FMI,30,40794
FMI,30,40641
FMI,30,40993
FMI,30,40946
FMI,30,40731
FMI,30,40660
FMI,30,40521
FMI,30,40711
FMI,30,40670
FMI,30,40655
FMI,30,40590
FMI,30,40525
FMI,30,40462
FMI,30,40735
FMI,30,40830
FMI,30,40895
FMI,30,40672
FMI,30,40634
FMI,30,40692
FMI,30,40844
FMI,30,40666
FMI,30,40752
FMI,30,40897
FMI,30,40510
FMI,30,40649
FMI,30,40689
FMI,30,40663
FMI,30,40823
FMI,30,40605
FMI,30,40642
FMI,30,40630
FMI,30,40969
FMI,30,40562
FMI,30,40705
FMI,30,40597
FMI,30,40660
FMI,30,40770
FMI,30,40450
FMI,30,40541
FMI,30,40583
FMI,30,40701
FMI,30,40572
FMI,30,40588
FMI,30,40687
FMI,30,40647
FMI,30,40739
FMI,30,40637
FMI,30,40607
FMI,30,40662
FMI,30,44183
FMI,30,40510
FMI,30,40855
FMI,30,40869
FMI,30,40681
FMI,30,40540
FMI,30,40714
FMI,30,40687
FMI,30,40795
FMI,30,40609
FMI,30,40458
FMI,30,40539
FMI,30,40518
FMI,30,40753
FMI,30,40482
FMI,30,40616
FMI,30,40473
FMI,30,40615
FMI,30,40781
FMI,30,40854
FMI,30,40514
FMI,30,40856
FMI,30,40549
FMI,30,40608
FMI,30,40842
FMI,30,40570
FMI,30,40727
FMI,30,40654
FMI,30,40812
FMI,30,40651
FMI,30,40515
FMI,30,40660
FMI,30,40488
FMI,40,144865
FMI,40,104294
FMI,40,90288
FMI,40,82803
FMI,40,87707
FMI,40,79229
FMI,40,74929
FMI,40,72855
FMI,40,73462
FMI,40,79004
FMI,40,73001
FMI,40,69791
FMI,40,74113
FMI,40,74688
FMI,40,70328
FMI,40,67699
FMI,40,73256
FMI,40,71564
FMI,40,71114
FMI,40,72632
FMI,40,68930
FMI,40,66591
FMI,40,66093
FMI,40,72146
FMI,40,69797
FMI,40,67154
FMI,40,71937
FMI,40,69419
FMI,40,67318
FMI,40,68260
FMI,40,71149
FMI,40,68110
FMI,40,66664
FMI,40,65907
FMI,40,72531
FMI,40,70014
FMI,40,67065
FMI,40,69774
FMI,40,68144
FMI,40,66452
FMI,40,65446
FMI,40,68371
FMI,40,66498
FMI,40,65281
FMI,40,65549
FMI,40,68035
FMI,40,66111
FMI,40,66130
FMI,40,67717
FMI,40,66277
FMI,40,64549
FMI,40,64281
FMI,40,67674
FMI,40,65835
FMI,40,64098
FMI,40,63625
FMI,40,66399
FMI,40,65478
FMI,40,67548
FMI,40,66491
FMI,40,64688
FMI,40,63556
FMI,40,63367
FMI,40,62955
FMI,40,62789
FMI,40,62878
FMI,40,64691
FMI,40,64478
FMI,40,63715
FMI,40,63198
FMI,40,64884
FMI,40,65368
FMI,40,64351
FMI,40,63809
FMI,40,64089
FMI,40,66712
FMI,40,65561
FMI,40,67844
FMI,40,67712
FMI,40,69570
FMI,40,67290
FMI,40,65743
FMI,40,69513
FMI,40,68392
FMI,40,65923
FMI,40,67440
FMI,40,68657
FMI,40,66872
FMI,40,65469
FMI,40,65201
FMI,40,64268
FMI,40,64267
FMI,40,64045
FMI,40,67794
FMI,40,68168
FMI,40,65972
FMI,40,65060
FMI,40,63866
FMI,40,63591
FMI,40,63564
FMI,50,152396
FMI,50,107668
FMI,50,95689
FMI,50,88570
FMI,50,92190
FMI,50,86410
FMI,50,81239
FMI,50,78473
FMI,50,82882
FMI,50,87743
FMI,50,84784
FMI,50,80220
FMI,50,79654
FMI,50,83268
FMI,50,79912
FMI,50,76934
FMI,50,75251
FMI,50,81501
FMI,50,81091
FMI,50,84609
FMI,50,81691
FMI,50,85085
FMI,50,81980
FMI,50,77857
FMI,50,75450
FMI,50,75702
FMI,50,80856
FMI,50,77217
FMI,50,76794
FMI,50,81185
FMI,50,77863
FMI,50,75457
FMI,50,75383
FMI,50,82257
FMI,50,79575
FMI,50,82384
FMI,50,83247
FMI,50,86196
FMI,50,86475
FMI,50,87682
FMI,50,83442
FMI,50,89509
FMI,50,83841
FMI,50,88908
FMI,50,84637
FMI,50,80486
FMI,50,77850
FMI,50,81427
FMI,50,83119
FMI,50,86655
FMI,50,81089
FMI,50,80864
FMI,50,84707
FMI,50,87320
FMI,50,82044
FMI,50,81639
FMI,50,84361
FMI,50,80147
FMI,50,77019
FMI,50,81617
FMI,50,79951
FMI,50,78756
FMI,50,83181
FMI,50,83040
FMI,50,83384
FMI,50,83993
FMI,50,84755
FMI,50,80567
FMI,50,87173
FMI,50,82769
FMI,50,79289
FMI,50,76991
FMI,50,75698
FMI,50,83114
FMI,50,80358
FMI,50,77697
FMI,50,76383
FMI,50,82957
FMI,50,80106
FMI,50,77832
FMI,50,83272
FMI,50,81000
FMI,50,84515
FMI,50,87552
FMI,50,86036
FMI,50,81702
FMI,50,78523
FMI,50,76323
FMI,50,75838
FMI,50,76112
FMI,50,75382
FMI,50,82989
FMI,50,82924
FMI,50,85295
FMI,50,81003
FMI,50,84449
FMI,50,83162
FMI,50,79725
FMI,50,77164
FMI,50,75253
FMI,60,214477
FMI,60,164102
FMI,60,168143
