Estructura,Largo Patron,Tiempo
FMI,10,53906
FMI,10,21023
FMI,10,15828
FMI,10,15045
FMI,10,14761
FMI,10,14710
FMI,10,14622
FMI,10,14738
FMI,10,14666
FMI,10,14619
FMI,10,14570
FMI,10,14660
FMI,10,14860
FMI,10,14238
FMI,10,14278
FMI,10,14129
FMI,10,14094
FMI,10,14270
FMI,10,14238
FMI,10,14203
FMI,10,14267
FMI,10,14168
FMI,10,14239
FMI,10,14171
FMI,10,14205
FMI,10,14159
FMI,10,14279
FMI,10,14168
FMI,10,14212
FMI,10,14151
FMI,10,14334
FMI,10,14160
FMI,10,14276
FMI,10,14173
FMI,10,14086
FMI,10,18504
FMI,10,14231
FMI,10,14289
FMI,10,14141
FMI,10,14190
FMI,10,14160
FMI,10,14136
FMI,10,14235
FMI,10,14238
FMI,10,14231
FMI,10,14171
FMI,10,14267
FMI,10,14277
FMI,10,14205
FMI,10,14205
FMI,10,14231
FMI,10,14209
FMI,10,14152
FMI,10,14177
FMI,10,14193
FMI,10,14266
FMI,10,14192
FMI,10,14165
FMI,10,14311
FMI,10,14179
FMI,10,14325
FMI,10,14250
FMI,10,14278
FMI,10,14228
FMI,10,14278
FMI,10,14217
FMI,10,14188
FMI,10,14138
FMI,10,14148
FMI,10,14128
FMI,10,14160
FMI,10,14145
FMI,10,14223
FMI,10,14146
FMI,10,14229
FMI,10,14330
FMI,10,14232
FMI,10,14190
FMI,10,14227
FMI,10,14183
FMI,10,14313
FMI,10,14238
FMI,10,14221
FMI,10,14332
FMI,10,14112
FMI,10,14182
FMI,10,14142
FMI,10,14199
FMI,10,14175
FMI,10,14271
FMI,10,14306
FMI,10,14289
FMI,10,14131
FMI,10,14188
FMI,10,14142
FMI,10,14253
FMI,10,14302
FMI,10,14268
FMI,10,14349
FMI,10,14358
FMI,20,61326
FMI,20,34253
FMI,20,28536
FMI,20,27037
FMI,20,25818
FMI,20,25167
FMI,20,24913
FMI,20,24916
FMI,20,24717
FMI,20,24910
FMI,20,24747
FMI,20,24867
FMI,20,24734
FMI,20,24597
FMI,20,24666
FMI,20,24726
FMI,20,24697
FMI,20,24903
FMI,20,24692
FMI,20,24654
FMI,20,24748
FMI,20,24701
FMI,20,24813
FMI,20,24894
FMI,20,24766
FMI,20,24692
FMI,20,24759
FMI,20,24706
FMI,20,24842
FMI,20,24829
FMI,20,24645
FMI,20,24743
FMI,20,24703
FMI,20,24639
FMI,20,24611
FMI,20,24706
FMI,20,24722
FMI,20,24686
FMI,20,24709
FMI,20,24587
FMI,20,24617
FMI,20,24787
FMI,20,24809
FMI,20,24686
FMI,20,24708
FMI,20,24803
FMI,20,24639
FMI,20,24653
FMI,20,25002
FMI,20,24625
FMI,20,24674
FMI,20,24736
FMI,20,24608
FMI,20,24619
FMI,20,24677
FMI,20,24577
FMI,20,24585
FMI,20,24468
FMI,20,24872
FMI,20,24745
FMI,20,24885
FMI,20,24588
FMI,20,24844
FMI,20,24908
FMI,20,24612
FMI,20,24683
FMI,20,24660
FMI,20,24827
FMI,20,24734
FMI,20,24757
FMI,20,24603
FMI,20,24627
FMI,20,24667
FMI,20,24626
FMI,20,24721
FMI,20,24702
FMI,20,24719
FMI,20,24642
FMI,20,24666
FMI,20,24747
FMI,20,24559
FMI,20,24645
FMI,20,24615
FMI,20,24722
FMI,20,24688
FMI,20,24602
FMI,20,24767
FMI,20,24577
FMI,20,24626
FMI,20,24586
FMI,20,24757
FMI,20,24665
FMI,20,24723
FMI,20,24677
FMI,20,24753
FMI,20,24563
FMI,20,24656
FMI,20,24814
FMI,20,24655
FMI,20,24736
FMI,30,83930
FMI,30,53687
FMI,30,47990
FMI,30,45741
FMI,30,41956
FMI,30,40320
FMI,30,39740
FMI,30,42071
FMI,30,39636
FMI,30,39199
FMI,30,39098
FMI,30,39284
FMI,30,39006
FMI,30,38942
FMI,30,39129
FMI,30,38846
FMI,30,38974
FMI,30,38996
FMI,30,38826
FMI,30,38937
FMI,30,39081
FMI,30,38822
FMI,30,39048
FMI,30,39123
FMI,30,39138
FMI,30,38945
FMI,30,39139
FMI,30,39095
FMI,30,39088
FMI,30,39167
FMI,30,39087
FMI,30,39083
FMI,30,39089
FMI,30,38976
FMI,30,39073
FMI,30,38780
FMI,30,38920
FMI,30,39124
FMI,30,39110
FMI,30,39220
FMI,30,38919
FMI,30,39172
