Estructura,Largo Patron,Tiempo
SA+LCP,10,4552
SA+LCP,10,267
SA+LCP,10,196
SA+LCP,10,202
SA+LCP,10,198
SA+LCP,10,196
SA+LCP,10,202
SA+LCP,10,187
SA+LCP,10,203
SA+LCP,10,196
SA+LCP,10,192
SA+LCP,10,193
SA+LCP,10,187
SA+LCP,10,187
SA+LCP,10,209
SA+LCP,10,183
SA+LCP,10,185
SA+LCP,10,180
SA+LCP,10,182
SA+LCP,10,201
SA+LCP,10,197
SA+LCP,10,203
SA+LCP,10,183
SA+LCP,10,187
SA+LCP,10,184
SA+LCP,10,185
SA+LCP,10,185
SA+LCP,10,196
SA+LCP,10,187
SA+LCP,10,187
SA+LCP,10,190
SA+LCP,10,193
SA+LCP,10,186
SA+LCP,10,203
SA+LCP,10,193
SA+LCP,10,198
SA+LCP,10,224
SA+LCP,10,202
SA+LCP,10,200
SA+LCP,10,222
SA+LCP,10,188
SA+LCP,10,203
SA+LCP,10,187
SA+LCP,10,195
SA+LCP,10,206
SA+LCP,10,223
SA+LCP,10,200
SA+LCP,10,184
SA+LCP,10,193
SA+LCP,10,206
SA+LCP,10,184
SA+LCP,10,183
SA+LCP,10,183
SA+LCP,10,207
SA+LCP,10,187
SA+LCP,10,211
SA+LCP,10,187
SA+LCP,10,195
SA+LCP,10,180
SA+LCP,10,184
SA+LCP,10,190
SA+LCP,10,182
SA+LCP,10,186
SA+LCP,10,190
SA+LCP,10,185
SA+LCP,10,194
SA+LCP,10,189
SA+LCP,10,187
SA+LCP,10,184
SA+LCP,10,214
SA+LCP,10,187
SA+LCP,10,214
SA+LCP,10,212
SA+LCP,10,205
SA+LCP,10,186
SA+LCP,10,196
SA+LCP,10,237
SA+LCP,10,192
SA+LCP,10,192
SA+LCP,10,194
SA+LCP,10,198
SA+LCP,10,194
SA+LCP,10,198
SA+LCP,10,199
SA+LCP,10,204
SA+LCP,10,197
SA+LCP,10,215
SA+LCP,10,224
SA+LCP,10,200
SA+LCP,10,196
SA+LCP,10,231
SA+LCP,10,186
SA+LCP,10,228
SA+LCP,10,187
SA+LCP,10,197
SA+LCP,10,216
SA+LCP,10,191
SA+LCP,10,207
SA+LCP,10,210
SA+LCP,10,201
SA+LCP,20,2333
SA+LCP,20,559
SA+LCP,20,483
SA+LCP,20,483
SA+LCP,20,482
SA+LCP,20,479
SA+LCP,20,532
SA+LCP,20,509
SA+LCP,20,479
SA+LCP,20,497
SA+LCP,20,480
SA+LCP,20,480
SA+LCP,20,478
SA+LCP,20,519
SA+LCP,20,494
SA+LCP,20,475
SA+LCP,20,514
SA+LCP,20,473
SA+LCP,20,476
SA+LCP,20,542
SA+LCP,20,513
SA+LCP,20,528
SA+LCP,20,475
SA+LCP,20,540
SA+LCP,20,501
SA+LCP,20,477
SA+LCP,20,470
SA+LCP,20,497
SA+LCP,20,500
SA+LCP,20,469
SA+LCP,20,469
SA+LCP,20,521
SA+LCP,20,477
SA+LCP,20,472
SA+LCP,20,493
SA+LCP,20,493
SA+LCP,20,521
SA+LCP,20,472
SA+LCP,20,562
