Estructura,Tamaño,Milisegundos,Bytes
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,1000000,252,15999992
SA + LCP,1000000,251,15999992
SA + LCP,2000000,543,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,541,31999992
SA + LCP,2000000,541,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,541,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,541,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,541,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,541,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,541,31999992
SA + LCP,2000000,543,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,542,31999992
