Estructura,Tamaño,Milisegundos,Bytes
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,259,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,260,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,261,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,256,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,256,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,260,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,258,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,1000000,257,15999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,586,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,587,31999992
SA + LCP,2000000,588,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,589,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,586,31999992
SA + LCP,2000000,586,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,586,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,587,31999992
SA + LCP,2000000,583,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,586,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,583,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,587,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,584,31999992
SA + LCP,2000000,585,31999992
SA + LCP,2000000,584,31999992
