Estructura,Largo Patron,Tiempo
SA+LCP,10,5056
SA+LCP,10,673
SA+LCP,10,461
SA+LCP,10,458
SA+LCP,10,391
SA+LCP,10,391
SA+LCP,10,401
SA+LCP,10,392
SA+LCP,10,406
SA+LCP,10,389
SA+LCP,10,391
SA+LCP,10,410
SA+LCP,10,393
SA+LCP,10,390
SA+LCP,10,410
SA+LCP,10,408
SA+LCP,10,390
SA+LCP,10,392
SA+LCP,10,419
SA+LCP,10,414
SA+LCP,10,391
SA+LCP,10,409
SA+LCP,10,389
SA+LCP,10,395
SA+LCP,10,393
SA+LCP,10,392
SA+LCP,10,409
SA+LCP,10,385
SA+LCP,10,389
SA+LCP,10,387
SA+LCP,10,415
SA+LCP,10,389
SA+LCP,10,390
SA+LCP,10,412
SA+LCP,10,427
SA+LCP,10,393
SA+LCP,10,390
SA+LCP,10,389
SA+LCP,10,394
SA+LCP,10,411
SA+LCP,10,392
SA+LCP,10,395
SA+LCP,10,393
SA+LCP,10,394
SA+LCP,10,394
SA+LCP,10,397
SA+LCP,10,386
SA+LCP,10,418
SA+LCP,10,400
SA+LCP,10,392
SA+LCP,10,388
SA+LCP,10,411
SA+LCP,10,392
SA+LCP,10,425
SA+LCP,10,391
SA+LCP,10,394
SA+LCP,10,411
SA+LCP,10,414
SA+LCP,10,391
SA+LCP,10,393
SA+LCP,10,396
SA+LCP,10,397
SA+LCP,10,390
SA+LCP,10,411
SA+LCP,10,391
SA+LCP,10,427
SA+LCP,10,391
SA+LCP,10,405
SA+LCP,10,416
SA+LCP,10,411
SA+LCP,10,417
SA+LCP,10,412
SA+LCP,10,416
SA+LCP,10,400
SA+LCP,10,385
SA+LCP,10,397
SA+LCP,10,410
SA+LCP,10,396
SA+LCP,10,407
SA+LCP,10,432
SA+LCP,10,384
SA+LCP,10,384
SA+LCP,10,404
SA+LCP,10,384
SA+LCP,10,409
SA+LCP,10,424
SA+LCP,10,387
SA+LCP,10,385
SA+LCP,10,408
SA+LCP,10,385
SA+LCP,10,386
SA+LCP,10,408
SA+LCP,10,386
SA+LCP,10,386
SA+LCP,10,422
SA+LCP,10,388
SA+LCP,10,438
SA+LCP,10,391
SA+LCP,10,396
SA+LCP,10,387
SA+LCP,20,3936
SA+LCP,20,831
SA+LCP,20,728
SA+LCP,20,594
SA+LCP,20,610
SA+LCP,20,653
SA+LCP,20,645
SA+LCP,20,665
SA+LCP,20,648
SA+LCP,20,684
SA+LCP,20,643
SA+LCP,20,714
SA+LCP,20,676
SA+LCP,20,638
SA+LCP,20,659
SA+LCP,20,647
SA+LCP,20,658
SA+LCP,20,617
SA+LCP,20,661
SA+LCP,20,633
SA+LCP,20,581
SA+LCP,20,614
SA+LCP,20,676
SA+LCP,20,631
SA+LCP,20,595
SA+LCP,20,689
SA+LCP,20,597
SA+LCP,20,624
SA+LCP,20,625
SA+LCP,20,566
SA+LCP,20,634
SA+LCP,20,587
SA+LCP,20,621
SA+LCP,20,637
SA+LCP,20,624
SA+LCP,20,611
SA+LCP,20,621
SA+LCP,20,636
SA+LCP,20,682
SA+LCP,20,670
SA+LCP,20,642
SA+LCP,20,604
SA+LCP,20,562
SA+LCP,20,594
SA+LCP,20,631
SA+LCP,20,603
SA+LCP,20,573
SA+LCP,20,552
SA+LCP,20,592
SA+LCP,20,595
SA+LCP,20,572
SA+LCP,20,590
SA+LCP,20,567
SA+LCP,20,548
SA+LCP,20,579
SA+LCP,20,609
SA+LCP,20,626
SA+LCP,20,532
SA+LCP,20,611
SA+LCP,20,587
SA+LCP,20,559
SA+LCP,20,600
SA+LCP,20,645
SA+LCP,20,623
SA+LCP,20,572
SA+LCP,20,576
SA+LCP,20,627
SA+LCP,20,569
SA+LCP,20,576
SA+LCP,20,607
SA+LCP,20,575
SA+LCP,20,549
SA+LCP,20,549
SA+LCP,20,596
SA+LCP,20,576
SA+LCP,20,549
SA+LCP,20,587
SA+LCP,20,625
SA+LCP,20,552
SA+LCP,20,586
SA+LCP,20,665
SA+LCP,20,630
SA+LCP,20,593
SA+LCP,20,605
SA+LCP,20,674
SA+LCP,20,621
SA+LCP,20,627
SA+LCP,20,614
SA+LCP,20,587
SA+LCP,20,573
SA+LCP,20,603
SA+LCP,20,580
SA+LCP,20,574
SA+LCP,20,594
