Estructura,Tamaño,Segundos,Bytes
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1190,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1184,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1190,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1184,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1191,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1184,15999992
SA + LCP,1000000,1189,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1185,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1188,15999992
SA + LCP,1000000,1193,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1186,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,1000000,1187,15999992
SA + LCP,2000000,1512,31999992
SA + LCP,2000000,1507,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1510,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1510,31999992
SA + LCP,2000000,1513,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1506,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1515,31999992
SA + LCP,2000000,1514,31999992
SA + LCP,2000000,1507,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1510,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1515,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1504,31999992
SA + LCP,2000000,1513,31999992
SA + LCP,2000000,1515,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1516,31999992
SA + LCP,2000000,1509,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1512,31999992
SA + LCP,2000000,1504,31999992
SA + LCP,2000000,1510,31999992
SA + LCP,2000000,1519,31999992
SA + LCP,2000000,1502,31999992
