Estructura,Largo Patron,Tiempo
SA+LCP,10,6534
SA+LCP,10,550
SA+LCP,10,376
SA+LCP,10,260
SA+LCP,10,236
SA+LCP,10,220
SA+LCP,10,223
SA+LCP,10,221
SA+LCP,10,241
SA+LCP,10,224
SA+LCP,10,236
SA+LCP,10,239
SA+LCP,10,223
SA+LCP,10,245
SA+LCP,10,244
SA+LCP,10,224
SA+LCP,10,226
SA+LCP,10,223
SA+LCP,10,229
SA+LCP,10,230
SA+LCP,10,241
SA+LCP,10,223
SA+LCP,10,234
SA+LCP,10,234
SA+LCP,10,221
SA+LCP,10,223
SA+LCP,10,252
SA+LCP,10,221
SA+LCP,10,241
SA+LCP,10,225
SA+LCP,10,222
SA+LCP,10,261
SA+LCP,10,223
SA+LCP,10,234
SA+LCP,10,224
SA+LCP,10,221
SA+LCP,10,221
SA+LCP,10,227
SA+LCP,10,224
SA+LCP,10,235
SA+LCP,10,243
SA+LCP,10,226
SA+LCP,10,226
SA+LCP,10,261
SA+LCP,10,256
SA+LCP,10,220
SA+LCP,10,222
SA+LCP,10,247
SA+LCP,10,226
SA+LCP,10,267
SA+LCP,10,223
SA+LCP,10,256
SA+LCP,10,236
SA+LCP,10,269
SA+LCP,10,229
SA+LCP,10,227
SA+LCP,10,248
SA+LCP,10,239
SA+LCP,10,232
SA+LCP,10,244
SA+LCP,10,249
SA+LCP,10,286
SA+LCP,10,231
SA+LCP,10,229
SA+LCP,10,232
SA+LCP,10,231
SA+LCP,10,272
SA+LCP,10,249
SA+LCP,10,267
SA+LCP,10,228
SA+LCP,10,273
SA+LCP,10,263
SA+LCP,10,228
SA+LCP,10,250
SA+LCP,10,229
SA+LCP,10,225
SA+LCP,10,250
SA+LCP,10,227
SA+LCP,10,263
SA+LCP,10,227
SA+LCP,10,257
SA+LCP,10,230
SA+LCP,10,227
SA+LCP,10,247
SA+LCP,10,248
SA+LCP,10,231
SA+LCP,10,235
SA+LCP,10,230
SA+LCP,10,230
SA+LCP,10,237
SA+LCP,10,246
SA+LCP,10,227
SA+LCP,10,229
SA+LCP,10,223
SA+LCP,10,249
SA+LCP,10,228
SA+LCP,10,227
SA+LCP,10,237
SA+LCP,10,241
SA+LCP,10,246
SA+LCP,20,4871
SA+LCP,20,849
SA+LCP,20,736
SA+LCP,20,702
SA+LCP,20,644
SA+LCP,20,647
SA+LCP,20,662
SA+LCP,20,669
SA+LCP,20,727
SA+LCP,20,659
SA+LCP,20,663
SA+LCP,20,701
SA+LCP,20,676
SA+LCP,20,662
SA+LCP,20,732
SA+LCP,20,662
SA+LCP,20,651
SA+LCP,20,709
SA+LCP,20,712
SA+LCP,20,688
SA+LCP,20,694
SA+LCP,20,681
SA+LCP,20,750
SA+LCP,20,691
SA+LCP,20,703
SA+LCP,20,656
SA+LCP,20,700
SA+LCP,20,687
SA+LCP,20,710
SA+LCP,20,709
SA+LCP,20,662
SA+LCP,20,722
SA+LCP,20,725
SA+LCP,20,691
SA+LCP,20,709
SA+LCP,20,640
SA+LCP,20,666
SA+LCP,20,644
SA+LCP,20,673
SA+LCP,20,681
SA+LCP,20,652
SA+LCP,20,680
SA+LCP,20,686
SA+LCP,20,614
SA+LCP,20,688
SA+LCP,20,739
SA+LCP,20,758
SA+LCP,20,656
SA+LCP,20,672
SA+LCP,20,690
SA+LCP,20,695
SA+LCP,20,681
SA+LCP,20,696
SA+LCP,20,649
SA+LCP,20,732
SA+LCP,20,698
SA+LCP,20,721
SA+LCP,20,697
SA+LCP,20,733
SA+LCP,20,642
SA+LCP,20,714
SA+LCP,20,680
SA+LCP,20,731
SA+LCP,20,623
SA+LCP,20,658
SA+LCP,20,680
SA+LCP,20,673
SA+LCP,20,680
SA+LCP,20,621
SA+LCP,20,699
SA+LCP,20,707
SA+LCP,20,654
SA+LCP,20,654
SA+LCP,20,629
SA+LCP,20,650
SA+LCP,20,696
SA+LCP,20,671
SA+LCP,20,638
SA+LCP,20,680
SA+LCP,20,752
SA+LCP,20,665
SA+LCP,20,654
SA+LCP,20,728
SA+LCP,20,706
SA+LCP,20,697
SA+LCP,20,748
SA+LCP,20,688
SA+LCP,20,658
SA+LCP,20,697
SA+LCP,20,685
SA+LCP,20,658
SA+LCP,20,744
SA+LCP,20,697
SA+LCP,20,721
SA+LCP,20,694
SA+LCP,20,686
SA+LCP,20,686
SA+LCP,20,772
SA+LCP,20,688
SA+LCP,20,720
SA+LCP,30,3044
SA+LCP,30,773
SA+LCP,30,686
SA+LCP,30,701
SA+LCP,30,663
SA+LCP,30,638
SA+LCP,30,630
SA+LCP,30,623
SA+LCP,30,657
SA+LCP,30,644
SA+LCP,30,644
SA+LCP,30,669
SA+LCP,30,638
SA+LCP,30,645
SA+LCP,30,661
SA+LCP,30,733
SA+LCP,30,683
SA+LCP,30,619
SA+LCP,30,643
SA+LCP,30,652
SA+LCP,30,683
SA+LCP,30,641
SA+LCP,30,619
SA+LCP,30,667
SA+LCP,30,630
SA+LCP,30,626
SA+LCP,30,689
SA+LCP,30,639
SA+LCP,30,645
SA+LCP,30,665
SA+LCP,30,641
SA+LCP,30,717
SA+LCP,30,646
SA+LCP,30,669
SA+LCP,30,708
SA+LCP,30,713
SA+LCP,30,629
SA+LCP,30,643
SA+LCP,30,669
SA+LCP,30,681
SA+LCP,30,674
SA+LCP,30,671
SA+LCP,30,718
SA+LCP,30,671
SA+LCP,30,662
SA+LCP,30,673
SA+LCP,30,673
SA+LCP,30,676
SA+LCP,30,678
SA+LCP,30,682
SA+LCP,30,663
SA+LCP,30,678
SA+LCP,30,654
SA+LCP,30,641
SA+LCP,30,660
SA+LCP,30,640
SA+LCP,30,639
SA+LCP,30,698
SA+LCP,30,638
SA+LCP,30,675
SA+LCP,30,611
SA+LCP,30,612
SA+LCP,30,617
SA+LCP,30,609
SA+LCP,30,682
SA+LCP,30,679
SA+LCP,30,660
SA+LCP,30,708
SA+LCP,30,671
SA+LCP,30,621
SA+LCP,30,672
SA+LCP,30,671
SA+LCP,30,667
SA+LCP,30,645
SA+LCP,30,660
SA+LCP,30,689
SA+LCP,30,684
SA+LCP,30,678
SA+LCP,30,663
SA+LCP,30,705
SA+LCP,30,653
SA+LCP,30,673
SA+LCP,30,667
SA+LCP,30,675
SA+LCP,30,681
SA+LCP,30,612
SA+LCP,30,643
SA+LCP,30,631
SA+LCP,30,681
SA+LCP,30,651
SA+LCP,30,685
SA+LCP,30,702
SA+LCP,30,646
SA+LCP,30,637
SA+LCP,30,654
SA+LCP,30,687
SA+LCP,30,669
SA+LCP,30,672
SA+LCP,30,673
SA+LCP,30,687
SA+LCP,40,3135
SA+LCP,40,882
SA+LCP,40,623
SA+LCP,40,575
SA+LCP,40,577
SA+LCP,40,554
SA+LCP,40,574
SA+LCP,40,549
SA+LCP,40,582
SA+LCP,40,589
SA+LCP,40,552
SA+LCP,40,579
SA+LCP,40,559
SA+LCP,40,576
SA+LCP,40,574
SA+LCP,40,578
SA+LCP,40,556
SA+LCP,40,580
SA+LCP,40,554
SA+LCP,40,597
SA+LCP,40,555
SA+LCP,40,595
SA+LCP,40,609
SA+LCP,40,567
SA+LCP,40,590
SA+LCP,40,559
SA+LCP,40,551
SA+LCP,40,577
SA+LCP,40,643
SA+LCP,40,600
SA+LCP,40,554
SA+LCP,40,577
SA+LCP,40,611
SA+LCP,40,558
SA+LCP,40,602
SA+LCP,40,570
SA+LCP,40,611
SA+LCP,40,558
SA+LCP,40,559
SA+LCP,40,573
SA+LCP,40,550
SA+LCP,40,559
SA+LCP,40,549
SA+LCP,40,557
SA+LCP,40,552
SA+LCP,40,552
SA+LCP,40,553
SA+LCP,40,554
SA+LCP,40,556
SA+LCP,40,550
SA+LCP,40,553
SA+LCP,40,575
SA+LCP,40,553
SA+LCP,40,551
SA+LCP,40,552
SA+LCP,40,555
SA+LCP,40,554
SA+LCP,40,549
