Estructura,Largo Patron,Tiempo
SA+LCP,10,6111
SA+LCP,10,459
SA+LCP,10,273
SA+LCP,10,217
SA+LCP,10,198
SA+LCP,10,205
SA+LCP,10,201
SA+LCP,10,207
SA+LCP,10,236
SA+LCP,10,197
SA+LCP,10,194
SA+LCP,10,196
SA+LCP,10,199
SA+LCP,10,219
SA+LCP,10,205
SA+LCP,10,217
SA+LCP,10,229
SA+LCP,10,198
SA+LCP,10,200
SA+LCP,10,198
SA+LCP,10,216
SA+LCP,10,204
SA+LCP,10,218
SA+LCP,10,237
SA+LCP,10,201
SA+LCP,10,200
SA+LCP,10,196
SA+LCP,10,194
SA+LCP,10,216
SA+LCP,10,201
SA+LCP,10,223
SA+LCP,10,197
SA+LCP,10,202
SA+LCP,10,199
SA+LCP,10,216
SA+LCP,10,196
SA+LCP,10,198
SA+LCP,10,202
SA+LCP,10,199
SA+LCP,10,215
SA+LCP,10,195
SA+LCP,10,199
SA+LCP,10,209
SA+LCP,10,200
SA+LCP,10,220
SA+LCP,10,197
SA+LCP,10,220
SA+LCP,10,198
SA+LCP,10,201
SA+LCP,10,216
SA+LCP,10,220
SA+LCP,10,198
SA+LCP,10,197
SA+LCP,10,202
SA+LCP,10,218
SA+LCP,10,209
SA+LCP,10,216
SA+LCP,10,209
SA+LCP,10,217
SA+LCP,10,218
SA+LCP,10,216
SA+LCP,10,196
SA+LCP,10,207
SA+LCP,10,196
SA+LCP,10,202
SA+LCP,10,196
SA+LCP,10,218
SA+LCP,10,219
SA+LCP,10,207
SA+LCP,10,202
SA+LCP,10,201
SA+LCP,10,198
SA+LCP,10,224
SA+LCP,10,197
SA+LCP,10,198
SA+LCP,10,218
SA+LCP,10,204
SA+LCP,10,223
SA+LCP,10,213
SA+LCP,10,196
SA+LCP,10,205
SA+LCP,10,198
SA+LCP,10,198
SA+LCP,10,223
SA+LCP,10,201
SA+LCP,10,193
SA+LCP,10,218
SA+LCP,10,205
SA+LCP,10,219
SA+LCP,10,196
SA+LCP,10,215
SA+LCP,10,198
SA+LCP,10,199
SA+LCP,10,203
SA+LCP,10,199
SA+LCP,10,231
SA+LCP,10,197
SA+LCP,10,198
SA+LCP,10,196
SA+LCP,10,207
SA+LCP,20,5685
SA+LCP,20,773
SA+LCP,20,602
SA+LCP,20,544
SA+LCP,20,608
SA+LCP,20,584
SA+LCP,20,508
SA+LCP,20,548
SA+LCP,20,555
SA+LCP,20,583
SA+LCP,20,676
SA+LCP,20,622
SA+LCP,20,573
SA+LCP,20,613
SA+LCP,20,612
SA+LCP,20,595
SA+LCP,20,545
SA+LCP,20,552
SA+LCP,20,571
SA+LCP,20,520
SA+LCP,20,577
SA+LCP,20,538
SA+LCP,20,555
SA+LCP,20,597
SA+LCP,20,570
SA+LCP,20,557
SA+LCP,20,610
SA+LCP,20,512
SA+LCP,20,521
SA+LCP,20,620
SA+LCP,20,554
SA+LCP,20,578
SA+LCP,20,544
SA+LCP,20,570
SA+LCP,20,587
SA+LCP,20,567
SA+LCP,20,550
SA+LCP,20,606
SA+LCP,20,578
SA+LCP,20,528
SA+LCP,20,527
SA+LCP,20,556
SA+LCP,20,553
SA+LCP,20,550
SA+LCP,20,577
SA+LCP,20,577
SA+LCP,20,550
SA+LCP,20,540
SA+LCP,20,597
SA+LCP,20,588
SA+LCP,20,586
SA+LCP,20,566
