Estructura,Tamaño,Milisegundos,Bytes
SA + LCP,1000000,268,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,268,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,268,15999992
SA + LCP,1000000,268,15999992
SA + LCP,1000000,268,15999992
SA + LCP,1000000,268,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,268,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,268,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,269,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,268,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,1000000,267,15999992
SA + LCP,2000000,543,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,543,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,543,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,543,31999992
SA + LCP,2000000,542,31999992
SA + LCP,2000000,543,31999992
SA + LCP,2000000,544,31999992
