Estructura,Largo Patron,Tiempo
SA+LCP,10,5616
SA+LCP,10,513
SA+LCP,10,356
SA+LCP,10,272
SA+LCP,10,254
SA+LCP,10,215
SA+LCP,10,217
SA+LCP,10,213
SA+LCP,10,236
SA+LCP,10,217
SA+LCP,10,237
SA+LCP,10,233
SA+LCP,10,236
SA+LCP,10,212
SA+LCP,10,230
SA+LCP,10,217
SA+LCP,10,259
SA+LCP,10,218
SA+LCP,10,238
SA+LCP,10,213
SA+LCP,10,235
SA+LCP,10,236
SA+LCP,10,255
SA+LCP,10,239
SA+LCP,10,238
SA+LCP,10,213
SA+LCP,10,255
SA+LCP,10,234
SA+LCP,10,220
SA+LCP,10,216
SA+LCP,10,211
SA+LCP,10,213
SA+LCP,10,232
SA+LCP,10,214
SA+LCP,10,232
SA+LCP,10,233
SA+LCP,10,235
SA+LCP,10,216
SA+LCP,10,256
SA+LCP,10,264
SA+LCP,10,238
SA+LCP,10,212
SA+LCP,10,214
SA+LCP,10,272
SA+LCP,10,212
SA+LCP,10,222
SA+LCP,10,218
SA+LCP,10,238
SA+LCP,10,216
SA+LCP,10,220
SA+LCP,10,236
SA+LCP,10,234
SA+LCP,10,216
SA+LCP,10,215
SA+LCP,10,281
SA+LCP,10,217
SA+LCP,10,236
SA+LCP,10,240
SA+LCP,10,216
SA+LCP,10,235
SA+LCP,10,216
SA+LCP,10,215
SA+LCP,10,218
SA+LCP,10,214
SA+LCP,10,276
SA+LCP,10,214
SA+LCP,10,220
SA+LCP,10,232
SA+LCP,10,257
SA+LCP,10,215
SA+LCP,10,217
SA+LCP,10,211
SA+LCP,10,213
SA+LCP,10,251
SA+LCP,10,216
SA+LCP,10,211
SA+LCP,10,212
SA+LCP,10,237
SA+LCP,10,221
SA+LCP,10,233
SA+LCP,10,255
SA+LCP,10,287
SA+LCP,10,215
SA+LCP,10,233
SA+LCP,10,273
SA+LCP,10,213
SA+LCP,10,240
SA+LCP,10,241
SA+LCP,10,223
SA+LCP,10,220
SA+LCP,10,234
SA+LCP,10,214
SA+LCP,10,220
SA+LCP,10,235
SA+LCP,10,232
SA+LCP,10,219
SA+LCP,10,213
SA+LCP,10,217
SA+LCP,10,237
SA+LCP,10,219
SA+LCP,20,6032
SA+LCP,20,790
SA+LCP,20,701
SA+LCP,20,618
SA+LCP,20,571
SA+LCP,20,572
SA+LCP,20,553
SA+LCP,20,617
SA+LCP,20,595
SA+LCP,20,607
SA+LCP,20,540
SA+LCP,20,554
