Estructura,Tamaño,Segundos,Bytes
Sufix Array,1000000,235,8000000
Sufix Array,1000000,235,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,235,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,236,8000000
Sufix Array,1000000,238,8000000
Sufix Array,1000000,235,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,235,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,236,8000000
Sufix Array,1000000,235,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,237,8000000
Sufix Array,1000000,235,8000000
Sufix Array,1000000,236,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,235,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,237,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,235,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,238,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,236,8000000
Sufix Array,1000000,235,8000000
Sufix Array,1000000,234,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,233,8000000
Sufix Array,1000000,234,8000000
Sufix Array,2000000,510,16000000
Sufix Array,2000000,510,16000000
Sufix Array,2000000,508,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,513,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,510,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,512,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,510,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,508,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,511,16000000
Sufix Array,2000000,511,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,510,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,512,16000000
Sufix Array,2000000,508,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,510,16000000
Sufix Array,2000000,509,16000000
Sufix Array,2000000,508,16000000
