Estructura,Largo Patron,Tiempo
Sufix Array,10,4999
Sufix Array,10,632
Sufix Array,10,322
Sufix Array,10,290
Sufix Array,10,269
Sufix Array,10,275
Sufix Array,10,274
Sufix Array,10,274
Sufix Array,10,272
Sufix Array,10,269
Sufix Array,10,272
Sufix Array,10,271
Sufix Array,10,274
Sufix Array,10,273
Sufix Array,10,280
Sufix Array,10,272
Sufix Array,10,272
Sufix Array,10,275
Sufix Array,10,271
Sufix Array,10,274
Sufix Array,10,276
Sufix Array,10,277
Sufix Array,10,310
Sufix Array,10,282
Sufix Array,10,275
Sufix Array,10,294
Sufix Array,10,285
Sufix Array,10,281
Sufix Array,10,293
Sufix Array,10,277
Sufix Array,10,280
Sufix Array,10,278
Sufix Array,10,275
Sufix Array,10,273
Sufix Array,10,270
Sufix Array,10,277
Sufix Array,10,281
Sufix Array,10,272
Sufix Array,10,279
Sufix Array,10,282
Sufix Array,10,276
Sufix Array,10,275
Sufix Array,10,276
Sufix Array,10,272
Sufix Array,10,281
Sufix Array,10,273
Sufix Array,10,273
Sufix Array,10,274
Sufix Array,10,273
Sufix Array,10,275
Sufix Array,10,269
Sufix Array,10,275
Sufix Array,10,268
Sufix Array,10,276
Sufix Array,10,271
Sufix Array,10,269
Sufix Array,10,274
Sufix Array,10,271
Sufix Array,10,271
Sufix Array,10,268
Sufix Array,10,276
Sufix Array,10,272
Sufix Array,10,272
Sufix Array,10,270
Sufix Array,10,271
Sufix Array,10,269
Sufix Array,10,270
Sufix Array,10,274
Sufix Array,10,270
Sufix Array,10,270
Sufix Array,10,270
Sufix Array,10,272
Sufix Array,10,274
Sufix Array,10,268
Sufix Array,10,271
Sufix Array,10,275
Sufix Array,10,272
Sufix Array,10,276
Sufix Array,10,269
Sufix Array,10,271
Sufix Array,10,271
Sufix Array,10,279
Sufix Array,10,280
Sufix Array,10,272
Sufix Array,10,269
Sufix Array,10,274
Sufix Array,10,274
Sufix Array,10,271
Sufix Array,10,271
Sufix Array,10,271
Sufix Array,10,272
Sufix Array,10,273
Sufix Array,10,275
Sufix Array,10,271
Sufix Array,10,271
Sufix Array,10,277
Sufix Array,10,269
Sufix Array,10,276
Sufix Array,10,280
Sufix Array,10,271
Sufix Array,20,3664
Sufix Array,20,492
Sufix Array,20,293
Sufix Array,20,283
Sufix Array,20,285
Sufix Array,20,287
Sufix Array,20,283
Sufix Array,20,284
Sufix Array,20,285
Sufix Array,20,292
Sufix Array,20,285
Sufix Array,20,290
Sufix Array,20,289
Sufix Array,20,286
Sufix Array,20,290
Sufix Array,20,283
Sufix Array,20,290
Sufix Array,20,288
Sufix Array,20,285
Sufix Array,20,290
Sufix Array,20,285
Sufix Array,20,285
Sufix Array,20,287
Sufix Array,20,287
Sufix Array,20,288
Sufix Array,20,286
Sufix Array,20,297
Sufix Array,20,282
Sufix Array,20,289
Sufix Array,20,284
Sufix Array,20,286
Sufix Array,20,285
Sufix Array,20,284
Sufix Array,20,287
Sufix Array,20,284
Sufix Array,20,284
Sufix Array,20,282
Sufix Array,20,285
Sufix Array,20,289
Sufix Array,20,284
Sufix Array,20,283
Sufix Array,20,285
Sufix Array,20,284
Sufix Array,20,284
Sufix Array,20,290
Sufix Array,20,284
Sufix Array,20,287
Sufix Array,20,286
Sufix Array,20,288
Sufix Array,20,281
Sufix Array,20,282
Sufix Array,20,281
Sufix Array,20,277
Sufix Array,20,280
Sufix Array,20,282
Sufix Array,20,281
Sufix Array,20,283
Sufix Array,20,280
Sufix Array,20,289
Sufix Array,20,286
Sufix Array,20,286
Sufix Array,20,286
Sufix Array,20,289
Sufix Array,20,286
Sufix Array,20,287
Sufix Array,20,288
Sufix Array,20,289
Sufix Array,20,283
Sufix Array,20,286
Sufix Array,20,285
Sufix Array,20,286
Sufix Array,20,286
Sufix Array,20,286
Sufix Array,20,289
Sufix Array,20,286
Sufix Array,20,288
Sufix Array,20,287
Sufix Array,20,289
Sufix Array,20,284
Sufix Array,20,288
Sufix Array,20,294
Sufix Array,20,292
Sufix Array,20,285
Sufix Array,20,286
Sufix Array,20,283
Sufix Array,20,283
Sufix Array,20,284
Sufix Array,20,286
Sufix Array,20,283
Sufix Array,20,286
Sufix Array,20,288
Sufix Array,20,291
Sufix Array,20,284
Sufix Array,20,285
Sufix Array,20,286
Sufix Array,20,286
Sufix Array,20,284
Sufix Array,20,283
Sufix Array,20,287
Sufix Array,20,286
Sufix Array,30,2216
Sufix Array,30,468
Sufix Array,30,272
Sufix Array,30,265
Sufix Array,30,261
Sufix Array,30,260
Sufix Array,30,268
Sufix Array,30,263
Sufix Array,30,265
Sufix Array,30,263
Sufix Array,30,265
Sufix Array,30,262
Sufix Array,30,263
Sufix Array,30,268
Sufix Array,30,282
Sufix Array,30,278
Sufix Array,30,276
Sufix Array,30,272
Sufix Array,30,275
Sufix Array,30,266
Sufix Array,30,267
Sufix Array,30,270
Sufix Array,30,269
Sufix Array,30,277
Sufix Array,30,275
Sufix Array,30,269
Sufix Array,30,271
Sufix Array,30,271
Sufix Array,30,266
Sufix Array,30,273
Sufix Array,30,267
Sufix Array,30,277
Sufix Array,30,294
Sufix Array,30,274
Sufix Array,30,267
Sufix Array,30,268
Sufix Array,30,268
Sufix Array,30,268
Sufix Array,30,269
Sufix Array,30,266
Sufix Array,30,267
Sufix Array,30,267
Sufix Array,30,265
Sufix Array,30,277
Sufix Array,30,266
Sufix Array,30,273
Sufix Array,30,266
Sufix Array,30,274
Sufix Array,30,279
Sufix Array,30,270
Sufix Array,30,272
Sufix Array,30,266
Sufix Array,30,272
Sufix Array,30,267
Sufix Array,30,268
Sufix Array,30,265
Sufix Array,30,265
Sufix Array,30,267
Sufix Array,30,266
Sufix Array,30,269
Sufix Array,30,272
Sufix Array,30,276
Sufix Array,30,271
Sufix Array,30,277
Sufix Array,30,277
Sufix Array,30,269
Sufix Array,30,274
Sufix Array,30,272
Sufix Array,30,279
Sufix Array,30,266
Sufix Array,30,273
Sufix Array,30,266
Sufix Array,30,274
Sufix Array,30,266
Sufix Array,30,269
Sufix Array,30,269
Sufix Array,30,268
Sufix Array,30,268
Sufix Array,30,268
Sufix Array,30,271
Sufix Array,30,270
Sufix Array,30,272
Sufix Array,30,279
Sufix Array,30,277
Sufix Array,30,271
Sufix Array,30,273
Sufix Array,30,274
Sufix Array,30,271
Sufix Array,30,275
Sufix Array,30,261
Sufix Array,30,262
Sufix Array,30,271
Sufix Array,30,266
Sufix Array,30,273
Sufix Array,30,276
Sufix Array,30,275
Sufix Array,30,276
Sufix Array,30,271
Sufix Array,30,268
Sufix Array,30,267
Sufix Array,40,1832
Sufix Array,40,497
Sufix Array,40,284
Sufix Array,40,251
Sufix Array,40,252
Sufix Array,40,250
Sufix Array,40,301
Sufix Array,40,251
Sufix Array,40,253
Sufix Array,40,250
Sufix Array,40,252
Sufix Array,40,255
Sufix Array,40,250
Sufix Array,40,252
Sufix Array,40,251
Sufix Array,40,256
Sufix Array,40,253
Sufix Array,40,250
Sufix Array,40,246
Sufix Array,40,256
Sufix Array,40,252
Sufix Array,40,253
Sufix Array,40,302
Sufix Array,40,248
Sufix Array,40,252
Sufix Array,40,249
Sufix Array,40,256
Sufix Array,40,250
Sufix Array,40,251
Sufix Array,40,255
Sufix Array,40,256
Sufix Array,40,256
Sufix Array,40,246
Sufix Array,40,250
Sufix Array,40,255
Sufix Array,40,253
Sufix Array,40,298
Sufix Array,40,251
Sufix Array,40,249
Sufix Array,40,249
Sufix Array,40,249
Sufix Array,40,246
Sufix Array,40,247
Sufix Array,40,247
Sufix Array,40,247
Sufix Array,40,246
Sufix Array,40,248
Sufix Array,40,259
Sufix Array,40,255
Sufix Array,40,248
Sufix Array,40,248
Sufix Array,40,248
Sufix Array,40,248
Sufix Array,40,249
Sufix Array,40,247
Sufix Array,40,254
Sufix Array,40,256
Sufix Array,40,253
Sufix Array,40,297
Sufix Array,40,245
Sufix Array,40,253
Sufix Array,40,249
Sufix Array,40,247
Sufix Array,40,249
Sufix Array,40,253
Sufix Array,40,252
Sufix Array,40,253
Sufix Array,40,249
Sufix Array,40,252
Sufix Array,40,247
Sufix Array,40,250
Sufix Array,40,248
Sufix Array,40,299
Sufix Array,40,250
Sufix Array,40,246
Sufix Array,40,252
Sufix Array,40,252
Sufix Array,40,245
Sufix Array,40,251
Sufix Array,40,255
Sufix Array,40,251
Sufix Array,40,249
Sufix Array,40,250
Sufix Array,40,256
Sufix Array,40,251
Sufix Array,40,253
Sufix Array,40,250
Sufix Array,40,250
Sufix Array,40,249
Sufix Array,40,256
Sufix Array,40,255
Sufix Array,40,252
Sufix Array,40,247
Sufix Array,40,250
Sufix Array,40,256
Sufix Array,40,251
Sufix Array,40,250
Sufix Array,40,249
Sufix Array,40,303
Sufix Array,40,292
Sufix Array,50,1804
