Estructura,Tamaño,Segundos,Bytes
Sufix Array,1000000,1190,8000000
Sufix Array,1000000,1186,8000000
Sufix Array,1000000,1166,8000000
Sufix Array,1000000,1164,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1164,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1160,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1160,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1160,8000000
Sufix Array,1000000,1160,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1267,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1164,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1170,8000000
Sufix Array,1000000,1171,8000000
Sufix Array,1000000,1172,8000000
Sufix Array,1000000,1169,8000000
Sufix Array,1000000,1169,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1161,8000000
Sufix Array,1000000,1167,8000000
Sufix Array,1000000,1165,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1165,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1165,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1166,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1164,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,1000000,1167,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1165,8000000
Sufix Array,1000000,1164,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1163,8000000
Sufix Array,1000000,1164,8000000
Sufix Array,1000000,1162,8000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1432,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1504,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1438,16000000
Sufix Array,2000000,1437,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1440,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1433,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1444,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1437,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1435,16000000
