Estructura,Largo Patron,Tiempo
Sufix Array,10,4882
Sufix Array,10,2084
Sufix Array,10,644
Sufix Array,10,298
Sufix Array,10,277
Sufix Array,10,273
Sufix Array,10,282
Sufix Array,10,281
Sufix Array,10,288
Sufix Array,10,282
Sufix Array,10,293
Sufix Array,10,282
Sufix Array,10,295
Sufix Array,10,287
Sufix Array,10,281
Sufix Array,10,287
Sufix Array,10,275
Sufix Array,10,281
Sufix Array,10,278
Sufix Array,10,277
Sufix Array,10,282
Sufix Array,10,280
Sufix Array,10,276
Sufix Array,10,281
Sufix Array,10,274
Sufix Array,10,290
Sufix Array,10,286
Sufix Array,10,281
Sufix Array,10,274
Sufix Array,10,275
Sufix Array,10,274
Sufix Array,10,282
Sufix Array,10,279
Sufix Array,10,287
Sufix Array,10,278
Sufix Array,10,284
Sufix Array,10,280
Sufix Array,10,281
Sufix Array,10,278
Sufix Array,10,281
Sufix Array,10,280
Sufix Array,10,277
Sufix Array,10,284
Sufix Array,10,274
Sufix Array,10,275
Sufix Array,10,276
Sufix Array,10,274
Sufix Array,10,274
Sufix Array,10,272
Sufix Array,10,275
Sufix Array,10,277
Sufix Array,10,274
Sufix Array,10,278
Sufix Array,10,278
Sufix Array,10,276
Sufix Array,10,287
Sufix Array,10,283
Sufix Array,10,279
Sufix Array,10,280
Sufix Array,10,286
Sufix Array,10,277
Sufix Array,10,308
Sufix Array,10,275
Sufix Array,10,277
Sufix Array,10,283
Sufix Array,10,287
Sufix Array,10,276
Sufix Array,10,273
Sufix Array,10,284
Sufix Array,10,274
Sufix Array,10,274
Sufix Array,10,275
Sufix Array,10,277
Sufix Array,10,277
Sufix Array,10,274
Sufix Array,10,276
Sufix Array,10,301
Sufix Array,10,282
Sufix Array,10,285
Sufix Array,10,283
Sufix Array,10,277
Sufix Array,10,280
Sufix Array,10,307
Sufix Array,10,303
Sufix Array,10,306
Sufix Array,10,277
Sufix Array,10,279
Sufix Array,10,295
Sufix Array,10,281
Sufix Array,10,291
Sufix Array,10,283
Sufix Array,10,278
Sufix Array,10,279
Sufix Array,10,276
Sufix Array,10,275
Sufix Array,10,292
Sufix Array,10,319
Sufix Array,10,276
Sufix Array,10,275
Sufix Array,10,276
Sufix Array,20,3277
Sufix Array,20,625
Sufix Array,20,285
Sufix Array,20,283
Sufix Array,20,284
Sufix Array,20,282
Sufix Array,20,282
Sufix Array,20,281
Sufix Array,20,297
Sufix Array,20,275
Sufix Array,20,280
Sufix Array,20,279
Sufix Array,20,283
Sufix Array,20,284
Sufix Array,20,350
Sufix Array,20,283
Sufix Array,20,281
Sufix Array,20,288
Sufix Array,20,283
Sufix Array,20,281
Sufix Array,20,280
Sufix Array,20,281
Sufix Array,20,293
Sufix Array,20,288
Sufix Array,20,278
Sufix Array,20,291
Sufix Array,20,275
Sufix Array,20,278
Sufix Array,20,275
Sufix Array,20,272
Sufix Array,20,283
Sufix Array,20,279
Sufix Array,20,281
Sufix Array,20,284
Sufix Array,20,283
Sufix Array,20,283
Sufix Array,20,285
Sufix Array,20,284
Sufix Array,20,284
Sufix Array,20,285
Sufix Array,20,284
Sufix Array,20,290
Sufix Array,20,291
Sufix Array,20,283
Sufix Array,20,296
Sufix Array,20,286
Sufix Array,20,309
Sufix Array,20,320
Sufix Array,20,284
Sufix Array,20,278
Sufix Array,20,281
Sufix Array,20,284
Sufix Array,20,286
Sufix Array,20,278
Sufix Array,20,287
Sufix Array,20,284
Sufix Array,20,282
Sufix Array,20,281
Sufix Array,20,277
Sufix Array,20,280
Sufix Array,20,293
Sufix Array,20,292
Sufix Array,20,283
Sufix Array,20,280
Sufix Array,20,295
Sufix Array,20,289
Sufix Array,20,296
Sufix Array,20,299
Sufix Array,20,278
Sufix Array,20,288
Sufix Array,20,276
Sufix Array,20,280
Sufix Array,20,277
Sufix Array,20,279
Sufix Array,20,282
Sufix Array,20,280
Sufix Array,20,281
Sufix Array,20,282
Sufix Array,20,278
Sufix Array,20,281
