Estructura,Tamaño,Segundos,Bytes
Sufix Array,1000000,268,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,268,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,268,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,268,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,267,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,265,8000000
Sufix Array,1000000,266,8000000
Sufix Array,1000000,266,8000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,605,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,606,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,605,16000000
Sufix Array,2000000,602,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,604,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,2000000,603,16000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,923,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,923,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,924,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,923,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,923,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,923,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,925,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,924,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,923,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,923,24000000
Sufix Array,3000000,920,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,923,24000000
Sufix Array,3000000,922,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,921,24000000
Sufix Array,3000000,922,24000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1268,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1273,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1273,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1268,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1274,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1273,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1273,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1273,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1271,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1272,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1269,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,4000000,1270,32000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1579,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1579,40000000
Sufix Array,5000000,1579,40000000
Sufix Array,5000000,1580,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1579,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1572,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1573,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1573,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1573,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1579,40000000
Sufix Array,5000000,1574,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1601,40000000
Sufix Array,5000000,1599,40000000
Sufix Array,5000000,1597,40000000
Sufix Array,5000000,1599,40000000
Sufix Array,5000000,1600,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1576,40000000
Sufix Array,5000000,1575,40000000
Sufix Array,5000000,1580,40000000
Sufix Array,5000000,1580,40000000
Sufix Array,5000000,1578,40000000
Sufix Array,5000000,1577,40000000
Sufix Array,5000000,1590,40000000
Sufix Array,5000000,1587,40000000
Sufix Array,6000000,1984,48000000
Sufix Array,6000000,1982,48000000
Sufix Array,6000000,2006,48000000
Sufix Array,6000000,2017,48000000
Sufix Array,6000000,2006,48000000
Sufix Array,6000000,2010,48000000
Sufix Array,6000000,2014,48000000
Sufix Array,6000000,2002,48000000
Sufix Array,6000000,1971,48000000
Sufix Array,6000000,1976,48000000
Sufix Array,6000000,2039,48000000
Sufix Array,6000000,2038,48000000
Sufix Array,6000000,2009,48000000
Sufix Array,6000000,2004,48000000
Sufix Array,6000000,2007,48000000
Sufix Array,6000000,1973,48000000
Sufix Array,6000000,1966,48000000
Sufix Array,6000000,1963,48000000
Sufix Array,6000000,1962,48000000
Sufix Array,6000000,1965,48000000
Sufix Array,6000000,1962,48000000
Sufix Array,6000000,1962,48000000
Sufix Array,6000000,1963,48000000
Sufix Array,6000000,1965,48000000
Sufix Array,6000000,1961,48000000
Sufix Array,6000000,1964,48000000
Sufix Array,6000000,1966,48000000
Sufix Array,6000000,1964,48000000
Sufix Array,6000000,1975,48000000
Sufix Array,6000000,1966,48000000
Sufix Array,6000000,1964,48000000
Sufix Array,6000000,1967,48000000
Sufix Array,6000000,1961,48000000
Sufix Array,6000000,1964,48000000
Sufix Array,6000000,1961,48000000
Sufix Array,6000000,1960,48000000
Sufix Array,6000000,1962,48000000
