Estructura,Largo Patron,Tiempo
Sufix Array,10,6383
Sufix Array,10,819
Sufix Array,10,607
Sufix Array,10,470
Sufix Array,10,418
Sufix Array,10,402
Sufix Array,10,401
Sufix Array,10,407
Sufix Array,10,418
Sufix Array,10,415
Sufix Array,10,406
Sufix Array,10,406
Sufix Array,10,403
Sufix Array,10,406
Sufix Array,10,417
Sufix Array,10,410
Sufix Array,10,412
Sufix Array,10,406
Sufix Array,10,410
Sufix Array,10,414
Sufix Array,10,415
Sufix Array,10,407
Sufix Array,10,403
Sufix Array,10,427
Sufix Array,10,427
Sufix Array,10,419
Sufix Array,10,410
Sufix Array,10,403
Sufix Array,10,417
Sufix Array,10,400
Sufix Array,10,400
Sufix Array,10,403
Sufix Array,10,403
Sufix Array,10,401
Sufix Array,10,404
Sufix Array,10,413
Sufix Array,10,437
Sufix Array,10,430
Sufix Array,10,437
Sufix Array,10,433
Sufix Array,10,436
Sufix Array,10,442
Sufix Array,10,438
Sufix Array,10,409
Sufix Array,10,404
Sufix Array,10,406
Sufix Array,10,411
Sufix Array,10,406
Sufix Array,10,417
Sufix Array,10,470
Sufix Array,10,418
Sufix Array,10,410
Sufix Array,10,411
Sufix Array,10,404
Sufix Array,10,405
Sufix Array,10,414
Sufix Array,10,416
Sufix Array,10,412
Sufix Array,10,415
Sufix Array,10,420
Sufix Array,10,426
Sufix Array,10,417
Sufix Array,10,431
Sufix Array,10,413
Sufix Array,10,423
Sufix Array,10,408
Sufix Array,10,409
Sufix Array,10,410
Sufix Array,10,407
Sufix Array,10,406
Sufix Array,10,404
Sufix Array,10,418
Sufix Array,10,411
Sufix Array,10,439
Sufix Array,10,441
Sufix Array,10,425
Sufix Array,10,427
Sufix Array,10,429
Sufix Array,10,437
Sufix Array,10,414
Sufix Array,10,416
Sufix Array,10,417
Sufix Array,10,412
Sufix Array,10,410
Sufix Array,10,401
Sufix Array,10,436
Sufix Array,10,412
Sufix Array,10,438
Sufix Array,10,407
Sufix Array,10,403
Sufix Array,10,406
Sufix Array,10,407
Sufix Array,10,436
Sufix Array,10,425
Sufix Array,10,414
Sufix Array,10,408
Sufix Array,10,411
Sufix Array,10,408
Sufix Array,10,411
Sufix Array,10,430
Sufix Array,20,3358
Sufix Array,20,832
Sufix Array,20,605
Sufix Array,20,478
Sufix Array,20,410
Sufix Array,20,418
Sufix Array,20,428
Sufix Array,20,420
Sufix Array,20,425
Sufix Array,20,418
Sufix Array,20,417
Sufix Array,20,424
Sufix Array,20,426
Sufix Array,20,406
Sufix Array,20,410
Sufix Array,20,425
Sufix Array,20,426
Sufix Array,20,412
Sufix Array,20,409
Sufix Array,20,410
Sufix Array,20,424
Sufix Array,20,419
Sufix Array,20,410
Sufix Array,20,410
Sufix Array,20,413
Sufix Array,20,416
Sufix Array,20,407
Sufix Array,20,410
Sufix Array,20,405
Sufix Array,20,408
Sufix Array,20,421
Sufix Array,20,405
Sufix Array,20,406
Sufix Array,20,413
Sufix Array,20,407
Sufix Array,20,422
Sufix Array,20,418
Sufix Array,20,404
Sufix Array,20,418
Sufix Array,20,420
Sufix Array,20,412
Sufix Array,20,405
Sufix Array,20,414
Sufix Array,20,413
Sufix Array,20,416
Sufix Array,20,408
Sufix Array,20,409
Sufix Array,20,407
Sufix Array,20,408
Sufix Array,20,407
Sufix Array,20,408
Sufix Array,20,422
Sufix Array,20,411
Sufix Array,20,417
Sufix Array,20,408
Sufix Array,20,415
Sufix Array,20,420
Sufix Array,20,406
Sufix Array,20,416
Sufix Array,20,426
Sufix Array,20,430
Sufix Array,20,409
Sufix Array,20,418
Sufix Array,20,415
Sufix Array,20,408
Sufix Array,20,406
Sufix Array,20,478
Sufix Array,20,453
Sufix Array,20,417
Sufix Array,20,408
Sufix Array,20,409
Sufix Array,20,422
Sufix Array,20,412
Sufix Array,20,425
Sufix Array,20,408
Sufix Array,20,412
Sufix Array,20,408
Sufix Array,20,413
Sufix Array,20,412
Sufix Array,20,422
Sufix Array,20,416
Sufix Array,20,418
Sufix Array,20,415
Sufix Array,20,418
Sufix Array,20,464
Sufix Array,20,419
Sufix Array,20,419
Sufix Array,20,429
Sufix Array,20,415
Sufix Array,20,409
Sufix Array,20,412
Sufix Array,20,428
Sufix Array,20,435
Sufix Array,20,415
Sufix Array,20,405
Sufix Array,20,412
Sufix Array,20,410
Sufix Array,20,412
Sufix Array,20,415
Sufix Array,20,408
Sufix Array,30,1919
Sufix Array,30,638
Sufix Array,30,488
Sufix Array,30,406
Sufix Array,30,407
Sufix Array,30,410
Sufix Array,30,422
Sufix Array,30,435
Sufix Array,30,411
Sufix Array,30,433
Sufix Array,30,413
Sufix Array,30,417
Sufix Array,30,428
Sufix Array,30,414
Sufix Array,30,438
Sufix Array,30,429
Sufix Array,30,415
Sufix Array,30,418
Sufix Array,30,430
Sufix Array,30,406
Sufix Array,30,407
Sufix Array,30,400
Sufix Array,30,415
Sufix Array,30,407
Sufix Array,30,410
Sufix Array,30,408
Sufix Array,30,423
Sufix Array,30,415
Sufix Array,30,409
Sufix Array,30,413
Sufix Array,30,410
Sufix Array,30,401
Sufix Array,30,414
Sufix Array,30,407
Sufix Array,30,411
Sufix Array,30,435
Sufix Array,30,414
Sufix Array,30,410
Sufix Array,30,433
Sufix Array,30,416
Sufix Array,30,485
Sufix Array,30,426
Sufix Array,30,417
Sufix Array,30,410
Sufix Array,30,406
Sufix Array,30,417
Sufix Array,30,412
Sufix Array,30,412
Sufix Array,30,417
Sufix Array,30,412
Sufix Array,30,405
Sufix Array,30,474
Sufix Array,30,410
Sufix Array,30,417
Sufix Array,30,407
Sufix Array,30,409
Sufix Array,30,410
Sufix Array,30,412
Sufix Array,30,412
Sufix Array,30,409
Sufix Array,30,423
Sufix Array,30,415
Sufix Array,30,421
Sufix Array,30,421
Sufix Array,30,411
Sufix Array,30,418
Sufix Array,30,429
Sufix Array,30,411
Sufix Array,30,411
Sufix Array,30,424
Sufix Array,30,415
Sufix Array,30,423
Sufix Array,30,406
Sufix Array,30,422
Sufix Array,30,432
Sufix Array,30,417
Sufix Array,30,429
Sufix Array,30,407
Sufix Array,30,418
Sufix Array,30,409
Sufix Array,30,412
Sufix Array,30,411
Sufix Array,30,418
Sufix Array,30,427
Sufix Array,30,412
Sufix Array,30,412
Sufix Array,30,418
Sufix Array,30,410
Sufix Array,30,418
Sufix Array,30,418
Sufix Array,30,412
Sufix Array,30,410
Sufix Array,30,419
Sufix Array,30,441
Sufix Array,30,423
Sufix Array,30,411
Sufix Array,30,413
Sufix Array,30,415
Sufix Array,30,408
Sufix Array,30,410
Sufix Array,40,2722
Sufix Array,40,796
Sufix Array,40,511
Sufix Array,40,428
Sufix Array,40,380
Sufix Array,40,381
Sufix Array,40,379
Sufix Array,40,384
Sufix Array,40,376
Sufix Array,40,395
Sufix Array,40,390
Sufix Array,40,397
Sufix Array,40,390
Sufix Array,40,381
Sufix Array,40,382
Sufix Array,40,379
Sufix Array,40,381
Sufix Array,40,382
Sufix Array,40,383
Sufix Array,40,389
Sufix Array,40,382
Sufix Array,40,382
Sufix Array,40,380
Sufix Array,40,388
Sufix Array,40,387
Sufix Array,40,390
Sufix Array,40,381
Sufix Array,40,379
Sufix Array,40,386
Sufix Array,40,399
Sufix Array,40,389
Sufix Array,40,380
Sufix Array,40,381
Sufix Array,40,377
Sufix Array,40,378
Sufix Array,40,382
Sufix Array,40,390
Sufix Array,40,381
Sufix Array,40,381
Sufix Array,40,375
Sufix Array,40,382
Sufix Array,40,372
Sufix Array,40,377
Sufix Array,40,387
Sufix Array,40,385
Sufix Array,40,379
Sufix Array,40,376
Sufix Array,40,376
Sufix Array,40,381
Sufix Array,40,376
Sufix Array,40,380
Sufix Array,40,378
Sufix Array,40,377
Sufix Array,40,377
Sufix Array,40,393
Sufix Array,40,376
Sufix Array,40,381
Sufix Array,40,380
Sufix Array,40,388
Sufix Array,40,384
Sufix Array,40,382
Sufix Array,40,381
Sufix Array,40,374
Sufix Array,40,374
Sufix Array,40,374
Sufix Array,40,386
Sufix Array,40,375
Sufix Array,40,377
Sufix Array,40,374
Sufix Array,40,376
Sufix Array,40,380
Sufix Array,40,374
Sufix Array,40,390
Sufix Array,40,386
Sufix Array,40,392
Sufix Array,40,381
Sufix Array,40,381
Sufix Array,40,381
Sufix Array,40,377
Sufix Array,40,383
Sufix Array,40,379
Sufix Array,40,389
Sufix Array,40,381
Sufix Array,40,377
Sufix Array,40,384
Sufix Array,40,383
Sufix Array,40,381
Sufix Array,40,376
Sufix Array,40,377
Sufix Array,40,376
Sufix Array,40,442
Sufix Array,40,380
Sufix Array,40,380
Sufix Array,40,374
Sufix Array,40,379
Sufix Array,40,384
Sufix Array,40,377
Sufix Array,40,381
Sufix Array,40,374
Sufix Array,40,376
Sufix Array,50,2080
Sufix Array,50,589
Sufix Array,50,401
Sufix Array,50,373
Sufix Array,50,384
Sufix Array,50,375
Sufix Array,50,372
Sufix Array,50,386
Sufix Array,50,376
Sufix Array,50,383
Sufix Array,50,387
Sufix Array,50,379
Sufix Array,50,383
Sufix Array,50,383
Sufix Array,50,381
Sufix Array,50,385
Sufix Array,50,376
Sufix Array,50,369
Sufix Array,50,377
Sufix Array,50,390
Sufix Array,50,381
Sufix Array,50,384
Sufix Array,50,376
Sufix Array,50,376
Sufix Array,50,375
Sufix Array,50,368
Sufix Array,50,378
Sufix Array,50,370
Sufix Array,50,378
Sufix Array,50,375
Sufix Array,50,451
Sufix Array,50,392
Sufix Array,50,376
Sufix Array,50,380
Sufix Array,50,376
Sufix Array,50,378
Sufix Array,50,375
Sufix Array,50,372
Sufix Array,50,376
Sufix Array,50,382
Sufix Array,50,376
Sufix Array,50,386
Sufix Array,50,380
Sufix Array,50,380
Sufix Array,50,380
Sufix Array,50,374
Sufix Array,50,388
Sufix Array,50,387
Sufix Array,50,396
Sufix Array,50,389
Sufix Array,50,390
Sufix Array,50,392
Sufix Array,50,387
Sufix Array,50,385
Sufix Array,50,381
Sufix Array,50,374
Sufix Array,50,384
Sufix Array,50,381
Sufix Array,50,373
Sufix Array,50,378
Sufix Array,50,380
Sufix Array,50,375
Sufix Array,50,381
Sufix Array,50,378
Sufix Array,50,376
Sufix Array,50,384
Sufix Array,50,376
Sufix Array,50,384
Sufix Array,50,373
Sufix Array,50,383
Sufix Array,50,373
Sufix Array,50,373
Sufix Array,50,372
Sufix Array,50,376
Sufix Array,50,388
Sufix Array,50,380
Sufix Array,50,376
Sufix Array,50,371
Sufix Array,50,383
Sufix Array,50,375
Sufix Array,50,371
Sufix Array,50,373
Sufix Array,50,390
Sufix Array,50,386
Sufix Array,50,380
Sufix Array,50,377
Sufix Array,50,374
Sufix Array,50,378
Sufix Array,50,391
Sufix Array,50,393
Sufix Array,50,388
Sufix Array,50,379
Sufix Array,50,378
Sufix Array,50,385
Sufix Array,50,384
Sufix Array,50,374
Sufix Array,50,377
Sufix Array,50,379
Sufix Array,50,377
Sufix Array,50,377
Sufix Array,60,3688
Sufix Array,60,709
Sufix Array,60,475
Sufix Array,60,398
Sufix Array,60,381
Sufix Array,60,391
Sufix Array,60,392
Sufix Array,60,405
Sufix Array,60,390
Sufix Array,60,395
Sufix Array,60,388
Sufix Array,60,398
Sufix Array,60,389
Sufix Array,60,387
Sufix Array,60,397
Sufix Array,60,390
Sufix Array,60,381
Sufix Array,60,386
Sufix Array,60,383
Sufix Array,60,384
Sufix Array,60,380
Sufix Array,60,383
Sufix Array,60,382
Sufix Array,60,386
Sufix Array,60,390
Sufix Array,60,383
Sufix Array,60,381
Sufix Array,60,397
Sufix Array,60,398
Sufix Array,60,399
Sufix Array,60,383
Sufix Array,60,385
