Estructura,Tamaño,Milisegundos,Bytes
Sufix Array,1000000,258,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,257,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
Sufix Array,1000000,256,8000000
