Estructura,Largo Patron,Tiempo
Sufix Array,10,4490
Sufix Array,10,667
Sufix Array,10,444
Sufix Array,10,382
Sufix Array,10,286
Sufix Array,10,309
Sufix Array,10,297
Sufix Array,10,283
Sufix Array,10,282
Sufix Array,10,279
Sufix Array,10,277
Sufix Array,10,280
Sufix Array,10,278
Sufix Array,10,292
Sufix Array,10,279
Sufix Array,10,279
Sufix Array,10,279
Sufix Array,10,277
Sufix Array,10,275
Sufix Array,10,280
Sufix Array,10,279
Sufix Array,10,292
Sufix Array,10,275
Sufix Array,10,279
Sufix Array,10,284
Sufix Array,10,280
Sufix Array,10,278
Sufix Array,10,274
Sufix Array,10,294
Sufix Array,10,279
Sufix Array,10,273
Sufix Array,10,279
Sufix Array,10,277
Sufix Array,10,278
Sufix Array,10,277
Sufix Array,10,278
Sufix Array,10,278
Sufix Array,10,277
Sufix Array,10,282
Sufix Array,10,279
Sufix Array,10,279
Sufix Array,10,281
Sufix Array,10,277
Sufix Array,10,282
Sufix Array,10,278
Sufix Array,10,279
Sufix Array,10,284
Sufix Array,10,281
Sufix Array,10,280
Sufix Array,10,280
Sufix Array,10,278
Sufix Array,10,279
Sufix Array,10,280
Sufix Array,10,278
Sufix Array,10,286
Sufix Array,10,279
Sufix Array,10,279
Sufix Array,10,280
Sufix Array,10,275
Sufix Array,10,291
Sufix Array,10,293
Sufix Array,10,280
Sufix Array,10,277
Sufix Array,10,282
Sufix Array,10,279
Sufix Array,10,277
Sufix Array,10,277
Sufix Array,10,276
Sufix Array,10,279
Sufix Array,10,277
Sufix Array,10,276
Sufix Array,10,277
Sufix Array,10,313
Sufix Array,10,279
Sufix Array,10,273
Sufix Array,10,298
Sufix Array,10,287
Sufix Array,10,280
Sufix Array,10,276
Sufix Array,10,282
Sufix Array,10,278
Sufix Array,10,274
Sufix Array,10,277
Sufix Array,10,276
Sufix Array,10,276
Sufix Array,10,275
Sufix Array,10,273
Sufix Array,10,271
Sufix Array,10,271
Sufix Array,10,282
Sufix Array,10,276
Sufix Array,10,285
Sufix Array,10,279
Sufix Array,10,278
Sufix Array,10,309
Sufix Array,10,280
Sufix Array,10,296
Sufix Array,10,288
Sufix Array,10,280
Sufix Array,10,285
Sufix Array,20,3227
Sufix Array,20,607
Sufix Array,20,474
Sufix Array,20,301
Sufix Array,20,265
Sufix Array,20,265
Sufix Array,20,266
Sufix Array,20,264
Sufix Array,20,263
Sufix Array,20,274
Sufix Array,20,269
Sufix Array,20,269
Sufix Array,20,269
Sufix Array,20,271
Sufix Array,20,271
Sufix Array,20,273
Sufix Array,20,272
Sufix Array,20,270
Sufix Array,20,272
Sufix Array,20,269
Sufix Array,20,265
Sufix Array,20,264
Sufix Array,20,266
Sufix Array,20,267
Sufix Array,20,265
Sufix Array,20,266
Sufix Array,20,273
Sufix Array,20,272
Sufix Array,20,266
Sufix Array,20,267
Sufix Array,20,265
Sufix Array,20,266
Sufix Array,20,268
Sufix Array,20,266
Sufix Array,20,264
Sufix Array,20,265
Sufix Array,20,267
Sufix Array,20,265
Sufix Array,20,265
Sufix Array,20,265
Sufix Array,20,267
Sufix Array,20,267
Sufix Array,20,268
Sufix Array,20,270
Sufix Array,20,267
Sufix Array,20,266
Sufix Array,20,264
Sufix Array,20,265
Sufix Array,20,266
Sufix Array,20,267
Sufix Array,20,269
Sufix Array,20,264
Sufix Array,20,269
Sufix Array,20,268
Sufix Array,20,275
Sufix Array,20,267
Sufix Array,20,264
Sufix Array,20,265
Sufix Array,20,262
Sufix Array,20,265
Sufix Array,20,266
Sufix Array,20,264
Sufix Array,20,270
Sufix Array,20,265
Sufix Array,20,267
Sufix Array,20,267
Sufix Array,20,269
Sufix Array,20,264
Sufix Array,20,265
Sufix Array,20,268
Sufix Array,20,270
Sufix Array,20,266
Sufix Array,20,263
Sufix Array,20,268
